gene	mean	HO_mean	HO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
ACOT7	0.17730138	0.060077794	0.10526315789473684	0.1988728	0.22518159806295399	1.725268	5.296487	1
MICOS10	0.93975145	0.59338945	0.6052631578947368	1.0034887	0.7336561743341404	0.7578738	6.83814	1
MAN1C1	0.045140944	-7.2759576e-11	0.0	0.05344779	0.06295399515738499	9.064685	6.1853485	1
FAM167B	0.15662065	0.03998843	0.06578947368421052	0.17808323	0.18159806295399517	2.1521037	6.3593216	1
GJA4	0.15258396	0.024099464	0.039473684210526314	0.17622758	0.18886198547215496	2.8652112	9.371564	1
EFCAB14	0.62792104	0.28437856	0.3815789473684211	0.69113976	0.5617433414043583	1.2808663	10.816441	1
NFIA-AS2	0.05273029	-7.2759576e-11	0.0	0.062433682	0.06779661016949153	9.288491	6.1677446	1
IFI44	0.113408946	0.017344417	0.02631578947368421	0.13108669	0.14769975786924938	2.9107842	7.208745	1
GCLM	0.43275726	0.19538721	0.2894736842105263	0.47643787	0.4430992736077482	1.2855165	7.5956645	1
PALMD	0.14317918	0.03917739	0.05263157894736842	0.16231753	0.1791767554479419	2.0479362	5.1839733	1
S100A6	2.2832806	1.3849318	0.6447368421052632	2.4485946	0.801452784503632	0.82209367	9.205898	1
PBX1	0.53950006	0.28264228	0.34210526315789475	0.5867671	0.48668280871670705	1.0535463	5.962058	1
GAS5	1.4439863	2.0707128	0.9605263157894737	1.3286561	0.8232445520581114	-0.6401207	9.268054	1
C1orf21	0.32731956	0.602909	0.618421052631579	0.27660462	0.2566585956416465	-1.123833	5.3032246	1
NIBAN1	0.23821151	0.08643849	0.10526315789473684	0.26614073	0.28087167070217917	1.6213174	5.2177515	1
HMCN1	0.23430826	0.08228137	0.13157894736842105	0.2622842	0.26634382566585957	1.6712906	6.6012115	1
CD34	0.58877367	0.29208207	0.25	0.64337134	0.4963680387409201	1.1390084	5.078769	1
FAM89A	0.32359496	0.116952606	0.18421052631578946	0.36162084	0.35351089588377727	1.6277195	8.405105	1
CHRM3	0.13811311	0.016029384	0.039473684210526314	0.16057889	0.1791767554479419	3.3164172	11.693329	1
FAM49A	0.23905604	0.09425031	0.14473684210526316	0.26570314	0.30024213075060535	1.4942589	5.6788177	1
EHD3	0.41587678	0.8922475	0.6052631578947368	0.3282124	0.2566585956416465	-1.4425365	6.3966966	1
LTBP1	0.38943702	0.18888429	0.25	0.4263422	0.4043583535108959	1.1740838	5.224061	1
CRIM1	0.4925424	0.23078209	0.3157894736842105	0.54071105	0.48668280871670705	1.2279685	7.8833103	1
CDC42EP3	0.5151627	0.22645171	0.27631578947368424	0.5682908	0.5230024213075061	1.3270428	8.502037	1
TMEM178A	0.056173433	-7.2759576e-11	0.0	0.066510424	0.0774818401937046	9.379605	7.474165	1
SLC1A4	0.2226238	0.07332309	0.10526315789473684	0.2500981	0.2736077481840194	1.768765	6.318035	1
ANXA4	0.19703904	0.06444334	0.09210526315789473	0.2214392	0.24455205811138014	1.7792218	5.7882495	1
TEX261	0.08307157	0.013147399	0.02631578947368421	0.09593898	0.11380145278450363	2.857911	6.000325	1
CAPG	0.110115856	0.023637557	0.05263157894736842	0.12602954	0.15254237288135594	2.409663	6.7047696	1
VAMP5	0.7916581	0.29753628	0.3157894736842105	0.8825865	0.6198547215496368	1.5683508	14.012023	1
CNNM3	0.036180258	-7.2759576e-11	0.0	0.04283813	0.05569007263922518	8.746117	5.654643	1
NPAS2	0.19436646	0.064923204	0.10526315789473684	0.21818662	0.23728813559322035	1.747197	5.909383	1
