gene	mean	HO_mean	HO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
FAM138A	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
OR4F5	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
AL627309.1	0.004911881	-7.2759576e-11	0.0	0.005815762	0.007263922518159807	5.886493	1.06453	0
AL627309.3	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
AL627309.2	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
AL627309.5	0.03408641	0.031776104	0.039473684210526314	0.034511767	0.0387409200968523	0.11878728	0.048474662	0
AL627309.4	0.0032271992	0.007579614	0.013157894736842105	0.0024262557	0.002421307506053269	-1.604033	0.28490075	0
AP006222.2	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
AL732372.1	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
OR4F29	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
AC114498.1	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
OR4F16	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
AL669831.2	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
LINC01409	0.044578645	0.031516064	0.05263157894736842	0.04698248	0.06295399515738499	0.57453245	0.39836106	0
FAM87B	0.001219887	-7.2759576e-11	0.0	0.0014443697	0.002421307506053269	3.9489472	0.49771518	0
LINC01128	0.13717315	0.10321422	0.14473684210526316	0.14342229	0.16464891041162227	0.47423598	0.6026112	0
LINC00115	0.004279234	0.019862028	0.039473684210526314	0.0014117841	0.002421307506053269	-3.7229342	0.91864157	0
FAM41C	0.0055134306	0.004667062	0.013157894736842105	0.005669232	0.007263922518159807	0.27527896	0.063887306	0
AL645608.6	5.2386895e-10	-7.2759576e-11	0.0	3.0559022e-10	0.0	5.5034343e-06	30.67383	0
