gene	mean	HO_mean	HO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
FAM138A	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
OR4F5	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL627309.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL627309.3	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL627309.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL627309.5	0.020683378	0.031776104	0.039473684210526314	0.008465418	0.014492753623188406	-1.8958799	0.593956	0
AL627309.4	0.003972771	0.007579614	0.013157894736842105	-5.820766e-11	0.0	-6.262963	0.49413702	0
AP006222.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL732372.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
OR4F29	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AC114498.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
OR4F16	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL669831.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC01409	0.030942162	0.031516064	0.05263157894736842	0.030310087	0.028985507246376812	-0.056107875	0.015963979	0
FAM87B	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC01128	0.11530452	0.10321422	0.14473684210526316	0.12862135	0.15942028985507245	0.31721258	0.21881838	0
LINC00115	0.0104104495	0.019862028	0.039473684210526314	-5.820766e-11	0.0	-7.641115	1.0319949	0
FAM41C	0.0024461776	0.004667062	0.013157894736842105	-5.820766e-11	0.0	-5.5750294	0.49413586	0
AL645608.6	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL645608.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL645608.4	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC02593	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
SAMD11	0.015448249	-7.2759576e-11	0.0	0.032463707	0.043478260869565216	8.347122	0.8947947	0
NOC2L	0.2626517	0.24806392	0.34210526315789475	0.27871984	0.2898550724637681	0.16803975	0.17498639	0
KLHL17	0.05662776	0.02821128	0.039473684210526314	0.08792694	0.10144927536231885	1.6365681	0.90825766	0
PLEKHN1	0.0060882187	0.011615665	0.013157894736842105	-5.820766e-11	0.0	-6.872296	0.49413684	0
PERM1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL645608.7	0.0072025917	0.013741772	0.013157894736842105	-5.820766e-11	0.0	-7.1128855	0.49413684	0
HES4	0.45233354	0.46096283	0.5	0.44282913	0.43478260869565216	-0.057887528	0.07486155	0
ISG15	0.26091212	0.2590126	0.34210526315789475	0.26300493	0.30434782608695654	0.02205908	0.02081994	0
AL645608.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AGRN	0.27003384	0.26070163	0.35526315789473684	0.28031328	0.30434782608695654	0.10460179	0.10409714	0
AL645608.5	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL645608.8	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
RNF223	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
C1orf159	0.027983094	0.013937506	0.02631578947368421	0.043453425	0.057971014492753624	1.6334996	0.65640265	0
AL390719.3	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC01342	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
AL390719.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TTLL10-AS1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TTLL10	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TNFRSF18	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TNFRSF4	0.04620598	0.046772882	0.06578947368421052	0.045581482	0.057971014492753624	-0.037144054	0.013603682	0
SDF4	0.590384	0.5849052	0.631578947368421	0.596419	0.5942028985507246	0.028118528	0.045369584	0
B3GALT6	0.17859055	0.16056475	0.2236842105263158	0.19844554	0.2318840579710145	0.3054165	0.28399983	0
C1QTNF12	0.007002225	-7.2759576e-11	0.0	0.014714821	0.014492753623188406	7.2108984	0.4936903	0
AL162741.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
UBE2J2	0.30956438	0.28743073	0.40789473684210525	0.33394387	0.36231884057971014	0.21632151	0.28503197	0
LINC01786	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
SCNN1D	0.0037564295	-7.2759576e-11	0.0	0.007893946	0.014492753623188406	6.320837	0.49369013	0
ACAP3	0.09060954	0.077622764	0.11842105263157894	0.10491375	0.13043478260869565	0.43416905	0.2725525	0
PUSL1	0.12593818	0.15983777	0.2236842105263158	0.08859961	0.13043478260869565	-0.850511	0.8762999	0
INTS11	0.2500563	0.2504208	0.3026315789473684	0.2496553	0.2898550724637681	-0.004415008	0.0038164435	0
AL139287.1	0.0063976576	-7.2759576e-11	0.0	0.013444353	0.014492753623188406	7.0815487	0.49369115	0
CPTP	0.082503535	0.08884008	0.13157894736842105	0.07552403	0.10144927536231885	-0.233989	0.12505622	0
TAS1R3	0.005540939	0.010571513	0.013157894736842105	-5.820766e-11	0.0	-6.737622	0.49413708	0
DVL1	0.10959658	0.09895371	0.13157894736842105	0.12131908	0.14492753623188406	0.29371214	0.18033892	0
MXRA8	0.012558659	0.0066341534	0.013157894736842105	0.019084193	0.014492753623188406	1.5103496	0.2680731	0
AURKAIP1	0.7790925	0.76361305	0.7368421052631579	0.79614246	0.6376811594202898	0.060177073	0.12424169	0
CCNL2	0.40075868	0.4101868	0.5263157894736842	0.39037466	0.4057971014492754	-0.07140383	0.09238283	0
MRPL20-AS1	0.050603315	0.06067582	0.09210526315789473	0.039508797	0.057971014492753624	-0.6176765	0.31480458	0
MRPL20	0.7286358	0.7073845	0.6447368421052632	0.7520435	0.6811594202898551	0.08830931	0.18091291	0
AL391244.2	0.01449274	0.01773194	0.02631578947368421	0.010925009	0.014492753623188406	-0.6936839	0.14969386	0
ANKRD65	0.00451209	0.008608577	0.013157894736842105	-5.820766e-11	0.0	-6.444366	0.49413693	0
AL391244.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TMEM88B	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
LINC01770	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
VWA1	0.4352905	0.38437784	0.40789473684210525	0.49136847	0.4492753623188406	0.3541984	0.5952844	0
ATAD3C	0.007499092	0.014307463	0.02631578947368421	-5.820766e-11	0.0	-7.1706734	0.7458297	0
ATAD3B	0.03506639	0.040309258	0.05263157894736842	0.029291535	0.028985507246376812	-0.4592852	0.1494939	0
ATAD3A	0.1104401	0.11529877	0.17105263157894737	0.10508853	0.11594202898550725	-0.13365038	0.07555062	0
TMEM240	0.055694364	0.06901497	0.07894736842105263	0.04102225	0.07246376811594203	-0.749079	0.3785589	0
SSU72	0.8055069	0.8047284	0.7894736842105263	0.8063647	0.7391304347826086	0.0029301865	0.0062495135	0
AL645728.1	0.013861925	-7.2759576e-11	0.0	0.029130135	0.028985507246376812	8.191314	0.79652387	0
FNDC10	0.06741928	0.06409135	0.10526315789473684	0.07108471	0.10144927536231885	0.14918844	0.07196787	0
AL691432.4	0.0074111284	0.014139637	0.02631578947368421	-5.820766e-11	0.0	-7.1537695	0.7982401	0
AL691432.2	0.033848684	0.05431375	0.09210526315789473	0.011307325	0.028985507246376812	-2.2540107	1.2099057	0
MIB2	0.14403087	0.1776519	0.2631578947368421	0.1069991	0.13043478260869565	-0.7309186	0.7994305	0
MMP23B	0.015834212	0.008640809	0.013157894736842105	0.02375742	0.028985507246376812	1.4485995	0.37277696	0
CDK11B	0.2421811	0.27713546	0.3815789473684211	0.20368136	0.21739130434782608	-0.44408962	0.572911	0
FO704657.1	0.006175517	-7.2759576e-11	0.0	0.012977536	0.014492753623188406	7.030948	0.49369022	0
SLC35E2B	0.15288757	0.14725477	0.21052631578947367	0.159092	0.17391304347826086	0.111474	0.07909261	0
CDK11A	0.20546998	0.21475871	0.2894736842105263	0.19523962	0.21739130434782608	-0.13740368	0.12143689	0
SLC35E2A	0.03961422	0.024945796	0.05263157894736842	0.055770773	0.07246376811594203	1.1575253	0.5316054	0
NADK	0.11827755	0.091407046	0.14473684210526316	0.14787404	0.17391304347826086	0.69338936	0.585382	0
GNB1	1.0499109	1.0367664	0.881578947368421	1.0643883	0.7971014492753623	0.037929952	0.10736347	0
AL109917.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
CALML6	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
TMEM52	0.0037564295	-7.2759576e-11	0.0	0.007893946	0.014492753623188406	6.320837	0.49369013	0
