gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
FAM138A	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
OR4F5	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AL627309.1	0.0026340385	-7.2759576e-11	0.0	0.002991515	0.0035714285714285713	4.9502435	0.7847392	0
AL627309.3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AL627309.2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AL627309.5	0.021433065	0.031776104	0.039473684210526314	0.020029332	0.02857142857142857	-0.6631761	0.26603955	0
AL627309.4	0.0019976567	0.007579614	0.013157894736842105	0.0012401054	0.0017857142857142857	-2.5186875	0.38550398	0
AP006222.2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AL732372.1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
OR4F29	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC114498.1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
OR4F16	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AL669831.2	0.0009104419	-7.2759576e-11	0.0	0.0010340019	0.0017857142857142857	3.5033522	0.49793044	0
LINC01409	0.032708947	0.031516064	0.05263157894736842	0.032870892	0.04285714285714286	0.060535148	0.02802334	0
FAM87B	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LINC01128	0.13242717	0.10321422	0.14473684210526316	0.13639197	0.1732142857142857	0.40177718	0.4996307	0
LINC00115	0.0063723614	0.019862028	0.039473684210526314	0.004541614	0.007142857142857143	-2.10456	0.6960406	0
FAM41C	0.014172174	0.004667062	0.013157894736842105	0.015462152	0.025	1.7068694	1.0647181	0
AL645608.6	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
