gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
FAM138A	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
OR4F5	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL627309.1	0.004983215	-5.820766e-11	0.0	0.005815762	0.007263922518159807	5.8864927	1.06453	0
AL627309.3	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL627309.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL627309.5	0.030783128	0.008465418	0.014492753623188406	0.034511767	0.0387409200968523	2.0146673	1.4500067	0
AL627309.4	0.002078929	-5.820766e-11	0.0	0.0024262557	0.002421307506053269	4.65893	0.49771413	0
AP006222.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL732372.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
OR4F29	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AC114498.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
OR4F16	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL669831.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC01409	0.044595707	0.030310087	0.028985507246376812	0.04698248	0.06295399515738499	0.6306404	0.32248455	0
FAM87B	0.0012376033	-5.820766e-11	0.0	0.0014443697	0.002421307506053269	3.948947	0.49771518	0
LINC01128	0.14130343	0.12862135	0.15942028985507245	0.14342229	0.16464891041162227	0.15702336	0.13908274	0
LINC00115	0.0012096822	-5.820766e-11	0.0	0.0014117841	0.002421307506053269	3.918181	0.49771777	0
FAM41C	0.004857662	-5.820766e-11	0.0	0.005669232	0.007263922518159807	5.850308	0.9925154	0
AL645608.6	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL645608.2	0.0034713752	-5.820766e-11	0.0	0.004051339	0.004842615012106538	5.3755054	0.76891756	0
AL645608.4	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02593	0.0031472957	-5.820766e-11	0.0	0.003673115	0.004842615012106538	5.237685	0.7726289	0
SAMD11	0.0114915725	0.032463707	0.043478260869565216	0.0079876175	0.012106537530266344	-2.0094783	0.59196717	0
NOC2L	0.21942903	0.27871984	0.2898550724637681	0.20952338	0.2324455205811138	-0.41153353	0.6064709	0
