gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.031970967	0.035227194	0.046351084812623275	0.0079876175	0.012106537530266344	-2.1269925	7.534646	1
AL645608.7	0.005370746	0.0061000213	0.00821827744904668	3.0559022e-10	0.0	-5.954197	5.7109447	1
HES4	0.4430044	0.4701952	0.4447731755424063	0.24271016	0.2324455205811138	-0.95373774	16.777435	1
MXRA8	0.039916664	0.043943483	0.060486522024983565	0.010249895	0.01694915254237288	-2.0893126	9.992377	1
VWA1	0.08475035	0.072104275	0.0831689677843524	0.17789724	0.19612590799031476	1.3016987	6.9592214	1
MEGF6	0.025034323	0.028012943	0.03451676528599606	0.0030957793	0.004842615012106538	-3.1369948	11.219152	1
ACOT7	0.2840152	0.29557222	0.3277449046679816	0.1988728	0.22518159806295399	-0.5714273	5.2580204	1
PLEKHG5	0.13915458	0.14832275	0.17159763313609466	0.07163275	0.08958837772397095	-1.0490083	8.110892	1
CTNNBIP1	0.3758929	0.39853823	0.4171597633136095	0.2090798	0.23002421307506055	-0.93033653	16.231401	1
PGD	0.59685844	0.62484276	0.584155161078238	0.39073068	0.3946731234866828	-0.67718047	15.349538	1
HSPB7	0.0127859535	0.0034549388	0.0046022353714661405	0.0815149	0.09685230024213075	4.520936	8.14855	1
EPHA2	0.20873125	0.22312044	0.24983563445101906	0.102726296	0.1234866828087167	-1.1182599	12.995242	1
MICOS10	1.4260228	1.4833928	0.9138724523339908	1.0034887	0.7336561743341404	-0.56382984	33.605297	1
CAMK2N1	0.087094665	0.097937115	0.11702827087442472	0.0072416533	0.009685230024213076	-3.7391512	41.76286	1
CDA	0.13385357	0.14150369	0.1653517422748192	0.077512994	0.08716707021791767	-0.8674888	5.0817294	1
ALPL	0.0055972836	0.006357315	0.00821827744904668	3.0559022e-10	0.0	-6.012858	5.8942165	1
FCN3	0.01474585	0.0022521794	0.003287310979618672	0.106769636	0.09927360774818401	5.50571	8.771241	1
RAB42	0.005852809	0.0066475323	0.011505588428665352	3.0559022e-10	0.0	-6.076284	7.590292	1
SERINC2	0.08853603	0.09580886	0.11669953977646286	0.034975298	0.048426150121065374	-1.4512087	9.881922	1
COL16A1	0.030445155	0.033650417	0.047337278106508875	0.0068371985	0.009685230024213076	-2.2824802	8.145816	1
ZBTB8OS	0.33900923	0.35395917	0.3806706114398422	0.22887583	0.25907990314769974	-0.6287951	7.5473037	1
FNDC5	0.0055540595	0.0063082227	0.008547008547008548	3.0559022e-10	0.0	-6.0018477	5.9722314	1
CSMD2	0.009224815	0.010477342	0.013477975016436555	3.0559022e-10	0.0	-6.7248287	8.946404	1
SMIM12	0.46058545	0.47770312	0.4815910585141354	0.3344883	0.3559322033898305	-0.5140294	7.2550836	1
GJA4	0.65334153	0.7181285	0.5621301775147929	0.17622758	0.18886198547215496	-2.0261848	44.55244	1
RRAGC	0.40610218	0.42268106	0.43326758711374097	0.28397202	0.3050847457627119	-0.57365394	7.7234893	1
HEYL	0.07092349	0.08019178	0.1042077580539119	0.0026500113	0.002421307506053269	-4.867743	44.55244	1
