gene	mean	VO_mean	VO_positive_frac	HO_mean	HO_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.034368526	0.035227194	0.046351084812623275	-7.2759576e-11	0.0	-8.464637	28.87312	1
MXRA8	0.043034244	0.043943483	0.060486522024983565	0.0066341534	0.013157894736842105	-2.7093601	5.7434635	1
VWA1	0.07971591	0.072104275	0.0831689677843524	0.38437784	0.40789473684210525	2.412744	5.6234946	1
AL645728.1	0.021376986	0.021911079	0.02695595003287311	-7.2759576e-11	0.0	-7.7820873	17.316826	1
MORN1	0.011593471	0.011883138	0.014792899408284023	-7.2759576e-11	0.0	-6.904863	10.24104	1
RER1	0.6777319	0.6849301	0.6259040105193951	0.3896587	0.5	-0.8135862	7.043776	1
ACOT7	0.28983265	0.29557222	0.3277449046679816	0.060077794	0.10526315789473684	-2.2966955	15.582808	1
HES2	0.0150150815	0.015390232	0.020381328073635765	-7.2759576e-11	0.0	-7.275216	13.367064	1
KLHL21	0.04449646	0.04547862	0.05719921104536489	0.005177638	0.013157894736842105	-3.110393	8.876688	1
ENO1	1.7961209	1.7730414	0.9585798816568047	2.7198951	0.9868421052631579	0.6172964	25.168266	1
CTNNBIP1	0.39297363	0.39853823	0.4171597633136095	0.17022628	0.27631578947368424	-1.226779	8.447048	1
AL139424.2	0.010407813	0.010667857	0.013149243918474688	-7.2759576e-11	0.0	-6.7505884	8.90933	1
PGD	0.61489767	0.62484276	0.584155161078238	0.21681565	0.2894736842105263	-1.5265899	13.725281	1
CORT	0.0063014217	0.0064588743	0.00821827744904668	-7.2759576e-11	0.0	-6.0353775	5.8879538	1
SLC25A34	0.0067136576	0.006881409	0.008875739644970414	-7.2759576e-11	0.0	-6.1254473	6.1683292	1
CPLANE2	0.007501423	0.0076888558	0.010190664036817882	-7.2759576e-11	0.0	-6.2833405	7.055574	1
LINC01772	0.0121265305	0.012429515	0.015121630506245891	-7.2759576e-11	0.0	-6.9691877	10.164026	1
MICOS10	1.4616983	1.4833928	0.9138724523339908	0.59338945	0.6052631578947368	-1.3217037	21.616512	1
CAMK2N1	0.09565995	0.097937115	0.11702827087442472	0.0045215734	0.013157894736842105	-4.4068723	33.620182	1
PINK1-AS	0.008090392	0.008292539	0.00953320184089415	-7.2759576e-11	0.0	-6.3910365	6.74236	1
