gene	mean	VO_mean	VO_positive_frac	HO_mean	HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
FAM138A	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
OR4F5	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL627309.1	0.0016327255	0.0016735134	0.0023011176857330702	-7.2759576e-11	0.0	-4.1485395	1.9325283	0
AL627309.3	0.00028831966	0.0002955225	0.0003287310979618672	-7.2759576e-11	0.0	-1.983761	0.49841064	0
AL627309.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL627309.5	0.013081498	0.012614459	0.017422748191978962	0.031776104	0.039473684210526314	1.3260053	0.5141351	0
AL627309.4	0.00061715546	0.0004432086	0.0006574621959237344	0.007579614	0.013157894736842105	3.8214555	0.4561043	0
AP006222.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL732372.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
OR4F29	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC114498.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
OR4F16	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL669831.2	0.00036534428	0.00037447148	0.0003287310979618672	-7.2759576e-11	0.0	-2.2463224	0.4984182	0
LINC01409	0.028484548	0.028408827	0.03714661406969099	0.031516064	0.05263157894736842	0.14924909	0.0721234	0
FAM87B	0.00015880214	0.00016276917	0.0003287310979618672	-7.2759576e-11	0.0	-1.3937972	0.4984036	0
LINC01128	0.100025	0.099945515	0.11801446416831032	0.10321422	0.14473684210526316	0.046382327	0.038393263	0
LINC00115	0.009132188	0.008864138	0.010848126232741617	0.019862028	0.039473684210526314	1.1550215	0.45170116	0
FAM41C	0.01781102	0.018139424	0.022353714661406968	0.004667062	0.013157894736842105	-1.9358879	1.9745623	0
AL645608.6	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL645608.2	0.0014962992	0.0015336786	0.0023011176857330702	-7.2759576e-11	0.0	-4.030053	2.009241	0
AL645608.4	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC02593	0.0055006174	0.005638063	0.007560815253122946	-7.2759576e-11	0.0	-5.842493	4.878806	0
SAMD11	0.034368526	0.035227194	0.046351084812623275	-7.2759576e-11	0.0	-8.464637	28.87312	1
NOC2L	0.23260471	0.23221812	0.2666009204470743	0.24806392	0.34210526315789475	0.095191754	0.13928322	0
KLHL17	0.019370293	0.019149434	0.023011176857330704	0.02821128	0.039473684210526314	0.55656105	0.23356372	0
PLEKHN1	0.0007981099	0.0005278498	0.0006574621959237344	0.011615665	0.013157894736842105	4.2218757	0.4645317	0
PERM1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL645608.7	0.006286266	0.0061000213	0.00821827744904668	0.013741772	0.013157894736842105	1.1586835	0.2355238	0
HES4	0.46997058	0.4701952	0.4447731755424063	0.46096283	0.5	-0.028603269	0.053739667	0
ISG15	0.42506617	0.42921433	0.4276791584483892	0.2590126	0.34210526315789475	-0.7284552	3.4302237	0
AL645608.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AGRN	0.14990811	0.14714023	0.1752136752136752	0.26070163	0.35526315789473684	0.82478076	1.6927117	0
AL645608.5	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL645608.8	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
RNF223	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
C1orf159	0.021172138	0.021352902	0.027942143326758713	0.013937506	0.02631578947368421	-0.6118862	0.31254908	0
AL390719.3	0.00014150213	0.00014503693	0.0003287310979618672	-7.2759576e-11	0.0	-1.2930003	0.4984555	0
LINC01342	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL390719.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TTLL10-AS1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TTLL10	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TNFRSF18	0.0013381531	0.0013715816	0.0019723865877712033	-7.2759576e-11	0.0	-3.8792968	1.6782762	0
TNFRSF4	0.036982067	0.036737476	0.03944773175542406	0.046772882	0.06578947368421052	0.34757933	0.19792974	0
SDF4	0.6646827	0.666676	0.6084812623274162	0.5849052	0.631578947368421	-0.18875273	0.7039407	0
B3GALT6	0.21350363	0.21482582	0.24326101249178173	0.16056475	0.2236842105263158	-0.41978538	0.7885382	0
C1QTNF12	0.0038432183	0.003939233	0.005588428665351742	-7.2759576e-11	0.0	-5.3360105	4.0703006	0
AL162741.1	0.00092263956	0.00094569294	0.0006574621959237344	-7.2759576e-11	0.0	-3.3863885	0.8024843	0
UBE2J2	0.32458478	0.32551268	0.351413543721236	0.28743073	0.40789473684210525	-0.17944072	0.4109949	0
LINC01786	0.00059082493	0.00060558843	0.0006574621959237344	-7.2759576e-11	0.0	-2.818828	0.802127	0
SCNN1D	0.0040459824	0.004147062	0.005259697567389875	-7.2759576e-11	0.0	-5.4083943	3.9268746	0
ACAP3	0.10685485	0.107585356	0.1334648257725181	0.077622764	0.11842105263157894	-0.470413	0.5380464	0
PUSL1	0.09317978	0.09151458	0.11341222879684418	0.15983777	0.2236842105263158	0.8038615	1.1545349	0
INTS11	0.19679356	0.19545339	0.2264957264957265	0.2504208	0.3026315789473684	0.35736784	0.57435787	0
AL139287.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
CPTP	0.09291711	0.09301915	0.11209730440499671	0.08884008	0.13157894736842105	-0.06624416	0.053749155	0
TAS1R3	0.0005452626	0.00029477203	0.0003287310979618672	0.010571513	0.013157894736842105	4.7566013	0.47586492	0
DVL1	0.05667819	0.055621855	0.06738987508218278	0.09895371	0.13157894736842105	0.82996774	0.68746996	0
MXRA8	0.043034244	0.043943483	0.060486522024983565	0.0066341534	0.013157894736842105	-2.7093601	5.7434635	1
AURKAIP1	1.0482963	1.0554092	0.8122945430637738	0.76361305	0.7368421052631579	-0.46683648	4.7474847	0
CCNL2	0.3302736	0.3282769	0.3547008547008547	0.4101868	0.5263157894736842	0.32128003	0.9054232	0
MRPL20-AS1	0.04295005	0.042507045	0.05325443786982249	0.06067582	0.09210526315789473	0.51240546	0.36435044	0
MRPL20	0.9564501	0.9626736	0.7603550295857988	0.7073845	0.6447368421052632	-0.44449797	3.0954285	0
AL391244.2	0.0045109275	0.0041806167	0.005588428665351742	0.01773194	0.02631578947368421	2.0585732	0.45023978	0
ANKRD65	0.00020982922	-1.1568773e-09	0.0	0.008608577	0.013157894736842105	6.4443817	0.49413702	0
AL391244.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TMEM88B	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC01770	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
VWA1	0.07971591	0.072104275	0.0831689677843524	0.38437784	0.40789473684210525	2.412744	5.6234946	1
ATAD3C	0.0017843129	0.0014714367	0.0023011176857330702	0.014307463	0.02631578947368421	3.1966603	0.640699	0
ATAD3B	0.038209863	0.038157433	0.04700854700854701	0.040309258	0.05263157894736842	0.07894578	0.03742724	0
ATAD3A	0.09144273	0.090846896	0.1091387245233399	0.11529877	0.17105263157894737	0.34353155	0.34286696	0
TMEM240	0.0397332	0.03900166	0.048980933596318214	0.06901497	0.07894736842105263	0.82176834	0.5076665	0
SSU72	0.78603953	0.78557307	0.678172255095332	0.8047284	0.7894736842105263	0.03475212	0.11984595	0
AL645728.1	0.021376986	0.021911079	0.02695595003287311	-7.2759576e-11	0.0	-7.7820873	17.316826	1
FNDC10	0.047647495	0.04723652	0.056870479947403026	0.06409135	0.10526315789473684	0.43942514	0.3201571	0
AL691432.4	0.0026786623	0.0023923235	0.0029585798816568047	0.014139637	0.02631578947368421	2.5143492	0.61499304	0
AL691432.2	0.02668021	0.025989844	0.03517422748191979	0.05431375	0.09210526315789473	1.060483	0.73156255	0
MIB2	0.10265412	0.10078054	0.12393162393162394	0.1776519	0.2631578947368421	0.817217	1.4276849	0
MMP23B	0.014749792	0.014902437	0.020052596975673898	0.008640809	0.013157894736842105	-0.7793582	0.3164626	0
CDK11B	0.20148353	0.19959314	0.23274161735700197	0.27713546	0.3815789473684211	0.47332695	1.0679897	0
FO704657.1	0.0023003228	0.0023577895	0.0029585798816568047	-7.2759576e-11	0.0	-4.6192904	2.45185	0
SLC35E2B	0.08761609	0.08612629	0.1071663379355687	0.14725477	0.21052631578947367	0.773094	1.0397121	0
CDK11A	0.13914487	0.1372559	0.15976331360946747	0.21475871	0.2894736842105263	0.64546937	1.1511531	0
SLC35E2A	0.038297072	0.038630653	0.04799474030243261	0.024945796	0.05263157894736842	-0.62890744	0.53538626	0
NADK	0.1652978	0.16714376	0.19362261669953978	0.091407046	0.14473684210526316	-0.8699976	2.1258564	0
GNB1	1.1834207	1.1870848	0.8438527284681131	1.0367664	0.881578947368421	-0.19531445	1.7841588	0
AL109917.1	0.00047922804	0.0004912004	0.0006574621959237344	-7.2759576e-11	0.0	-2.5636485	0.7885949	0
CALML6	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
TMEM52	0.0013922288	0.0014270082	0.001643655489809336	-7.2759576e-11	0.0	-3.932637	1.4952016	0
CFAP74	0.012642127	0.012836232	0.014792899408284023	0.004873645	0.013157894736842105	-1.379042	0.8780535	0
AL391845.2	0.0063615143	0.006158881	0.007232084155161078	0.014473003	0.013157894736842105	1.2193216	0.24488515	0
GABRD	0.010313071	0.009902992	0.011176857330703484	0.02672779	0.039473684210526314	1.4232967	0.5529263	0
AL391845.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
PRKCZ	0.016784605	0.015387031	0.018080210387902695	0.07272497	0.09210526315789473	2.2333727	1.4272839	0
AL590822.2	0.0011188802	0.0010250753	0.0013149243918474688	0.004873645	0.013157894736842105	2.144282	0.36172506	0
PRKCZ-AS1	0.0005133354	0.00052615994	0.0009861932938856016	-7.2759576e-11	0.0	-2.6465323	0.96277905	0
FAAP20	0.54680926	0.544433	0.5292570677186061	0.6419127	0.7236842105263158	0.23758242	1.1049616	0
