gene	mean	EC_2_mean	EC_2_positive_frac	EC_3_mean	EC_3_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
FAM138A	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
OR4F5	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL627309.1	0.0023812784	0.00236144	0.003952569169960474	0.0024095208	0.003389830508474576	0.027909203	0.009585829	0
AL627309.3	0.0004181373	0.0007106565	0.0007905138339920949	1.0477379e-09	0.0	-3.0190756	0.4982564	0
AL627309.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL627309.5	0.022306412	0.021478582	0.03241106719367589	0.023490379	0.02937853107344633	0.12859854	0.13497406	0
AL627309.4	0.0013372944	0.00047643523	0.0007905138339920949	0.0025678545	0.003389830508474576	2.2104497	0.7212012	0
AP006222.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL732372.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
OR4F29	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC114498.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
OR4F16	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL669831.2	0.0007991548	0.00090050144	0.0007905138339920949	0.0006542844	0.0011299435028248588	-0.40754285	0.08356868	0
LINC01409	0.035263635	0.036216944	0.05612648221343874	0.033901524	0.04406779661016949	-0.09504341	0.13031629	0
FAM87B	0.00050776085	0.00039142166	0.0007905138339920949	0.00067404914	0.0011299435028248588	0.6554637	0.14450862	0
LINC01128	0.11482771	0.093666606	0.13438735177865613	0.14506924	0.17627118644067796	0.63058966	3.988981	0
LINC00115	0.0046422556	0.0051942314	0.008695652173913044	0.0038531453	0.006779661016949152	-0.42142025	0.24754834	0
FAM41C	0.010786452	0.012714438	0.020553359683794466	0.008031487	0.012429378531073447	-0.65617895	0.7158529	0
AL645608.6	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL645608.2	0.002656021	0.0036881205	0.005533596837944664	0.0011806366	0.0011299435028248588	-1.5646212	0.7555948	0
AL645608.4	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC02593	0.007645196	0.011026536	0.016600790513833993	0.0028123227	0.004519774011299435	-1.9337623	2.2217288	0
SAMD11	0.046598636	0.0695111	0.09723320158102766	0.013848892	0.0192090395480226	-2.319167	13.446451	1
NOC2L	0.2384269	0.24492703	0.3233201581027668	0.2291428	0.27570621468926554	-0.09606448	0.44530126	0
KLHL17	0.020098723	0.02036949	0.02924901185770751	0.01971254	0.023728813559322035	-0.047061417	0.041746043	0
PLEKHN1	0.0015725401	0.0004175839	0.0007905138339920949	0.003223499	0.004519774011299435	2.6828382	1.012504	0
PERM1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL645608.7	0.0061904863	0.009038842	0.014229249011857707	0.002118973	0.003389830508474576	-2.0421193	2.1552935	0
HES4	0.54620504	0.6697591	0.6490118577075099	0.36958537	0.3728813559322034	-0.8575598	33.390987	1
ISG15	0.382393	0.4181973	0.4758893280632411	0.33120045	0.3638418079096045	-0.3363886	4.352747	0
AL645608.1	0.00035654492	0.0006059738	0.0007905138339920949	1.0477379e-09	0.0	-2.8195996	0.49825394	0
AGRN	0.21923894	0.20305847	0.2735177865612648	0.2423741	0.28700564971751413	0.25522527	1.6738245	0
AL645608.5	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL645608.8	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
RNF223	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
C1orf159	0.025701812	0.026800362	0.04031620553359684	0.024132289	0.0327683615819209	-0.15069494	0.18148412	0
AL390719.3	0.00020521079	0.00034876564	0.0007905138339920949	1.0477379e-09	0.0	-2.1659472	0.49826828	0
LINC01342	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AL390719.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
TTLL10-AS1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
TTLL10	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
TNFRSF18	0.0015094157	0.0018967033	0.0031620553359683794	0.0009559454	0.0011299435028248588	-0.9190846	0.29996565	0
TNFRSF4	0.037337337	0.03308561	0.04110671936758893	0.043415148	0.05423728813559322	0.3909598	0.7065598	0
SDF4	0.64191884	0.6419101	0.6624505928853754	0.64192253	0.6248587570621469	2.8032899e-05	0.0001788053	0
B3GALT6	0.21212646	0.22140251	0.2932806324110672	0.1988748	0.24632768361581922	-0.15473728	0.7909702	0
C1QTNF12	0.005340733	0.008274414	0.012648221343873518	0.0011472596	0.0011299435028248588	-2.7472265	2.443783	0
AL162741.1	0.00072968344	0.0004345504	0.0007905138339920949	0.0011515296	0.0022598870056497176	1.2272946	0.35932997	0
UBE2J2	0.33525988	0.34170377	0.4134387351778656	0.32604304	0.37966101694915255	-0.06766349	0.37001124	0
LINC01786	0.0004340288	1.2369128e-09	0.0	0.0010544184	0.0011299435028248588	3.5290763	0.49814373	0
SCNN1D	0.0042583565	0.005601545	0.007905138339920948	0.0023383	0.003389830508474576	-1.2254771	0.8042406	0
ACAP3	0.10924554	0.11532825	0.1683794466403162	0.10054458	0.12994350282485875	-0.19772692	0.67320764	0
PUSL1	0.09684119	0.09910082	0.1422924901185771	0.093605064	0.11977401129943503	-0.08222504	0.19900693	0
INTS11	0.21390833	0.20346305	0.27430830039525694	0.22884592	0.2790960451977401	0.16953115	0.89928275	0
AL139287.1	0.0004314718	1.2369128e-09	0.0	0.001048206	0.0011299435028248588	3.5212917	0.4981435	0
CPTP	0.09438987	0.09571394	0.13754940711462452	0.09249125	0.11977401129943503	-0.049359832	0.10836995	0
TAS1R3	0.0007907529	0.00070882967	0.0007905138339920949	0.0009078371	0.0011299435028248588	0.31735462	0.06406973	0
DVL1	0.06868592	0.055362314	0.07905138339920949	0.08772942	0.11073446327683616	0.6631964	2.698549	0
MXRA8	0.06347608	0.10397788	0.14466403162055336	0.0055768746	0.00903954802259887	-4.196423	33.24391	1
AURKAIP1	0.97359365	1.053403	0.8624505928853755	0.8595138	0.7446327683615819	-0.29343387	13.612446	0
CCNL2	0.37311712	0.3813196	0.45375494071146244	0.361381	0.4090395480225989	-0.07745924	0.47962412	0
MRPL20-AS1	0.047037963	0.045470808	0.06877470355731226	0.04927842	0.0655367231638418	0.11577077	0.19342737	0
MRPL20	0.89525706	0.98566127	0.8229249011857708	0.76602924	0.6937853107344633	-0.3636505	16.642633	0
AL391244.2	0.0051367655	0.005866617	0.008695652173913044	0.00409339	0.005649717514124294	-0.5087962	0.2998942	0
ANKRD65	0.0012670266	0.0006345358	0.0007905138339920949	0.002171182	0.0022598870056497176	1.6285386	0.42604125	0
AL391244.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
TMEM88B	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01770	0.00062576885	0.0005869799	0.0007905138339920949	0.00068119995	0.0011299435028248588	0.185424	0.037839133	0
VWA1	0.17211679	0.07956816	0.1067193675889328	0.3044035	0.319774011299435	1.9343836	34.653473	1
ATAD3C	0.0029849026	0.0019492841	0.003952569169960474	0.004465178	0.006779661016949152	1.1555511	0.6549494	0
ATAD3B	0.035124745	0.041510765	0.06007905138339921	0.025997322	0.0327683615819209	-0.673055	1.5950167	0
ATAD3A	0.09350059	0.10502508	0.14624505928853754	0.077021256	0.10621468926553672	-0.44690654	1.9628999	0
TMEM240	0.052527294	0.04815457	0.06956521739130435	0.058777865	0.0768361581920904	0.28705975	0.63669825	0
SSU72	0.7703877	0.79467696	0.7407114624505929	0.7356627	0.6768361581920904	-0.111309506	1.7048801	0
AL645728.1	0.021209804	0.024382913	0.03399209486166008	0.016675126	0.022598870056497175	-0.5454517	0.8112785	0
FNDC10	0.053974234	0.050210074	0.07114624505928854	0.059355024	0.07796610169491526	0.24095142	0.51038116	0
AL691432.4	0.0037083067	0.0031010176	0.003952569169960474	0.004576195	0.006779661016949152	0.54680437	0.2708504	0
AL691432.2	0.030727768	0.03359584	0.05375494071146245	0.026628861	0.03728813559322034	-0.33417225	0.54975015	0
MIB2	0.104964316	0.102068916	0.14624505928853754	0.10909651	0.13785310734463277	0.095970474	0.25186878	0
MMP23B	0.026090616	0.033261262	0.0466403162055336	0.015841883	0.021468926553672316	-1.065352	2.471926	0
CDK11B	0.209297	0.21277516	0.28774703557312253	0.2043324	0.24858757062146894	-0.058383774	0.21997283	0
