gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.20583291	0.19198048	0.11774975751697381	0.32830232	0.241852487135506	0.77375335	6.437708	1
MXRA8	0.19440709	0.18117315	0.11833171677982542	0.31140864	0.241852487135506	0.7811068	6.564485	1
PLOD1	0.31290668	0.2956798	0.18913676042677013	0.4652188	0.35334476843910806	0.653696	8.263173	1
KAZN	0.13343357	0.12033808	0.08205625606207566	0.24920896	0.19897084048027444	1.049643	7.9724507	1
HSPB7	0.016781464	0.009695082	0.006401551891367604	0.07944093	0.0634648370497427	3.021568	6.913853	1
PINK1	0.22822934	0.21635893	0.14180407371483997	0.33317512	0.2641509433962264	0.6226203	5.4374623	1
LAPTM5	0.0057176654	0.006364392	0.004073714839961203	7.1304385e-10	0.0	-6.0144324	5.1518993	1
GJA4	0.034752533	0.037469514	0.030067895247332686	0.0107216565	0.010291595197255575	-1.7956413	5.6418033	1
TMEM35B	0.15881154	0.14717433	0.10009699321047527	0.26169276	0.21269296740994853	0.82991916	6.286989	1
FHL3	0.17499062	0.16250466	0.1119301648884578	0.28537765	0.23499142367066894	0.8120091	6.8511825	1
RLF	0.23036219	0.218015	0.14393792434529584	0.33952466	0.2692967409948542	0.6388522	5.7274504	1
P3H1	0.21426429	0.20080654	0.13482056256062075	0.33324495	0.2624356775300172	0.7304913	6.629199	1
DHCR24	0.090381436	0.09662502	0.06828322017458778	0.035178572	0.030874785591766724	-1.455097	9.275656	1
GADD45A	0.13768539	0.12731175	0.08535402521823472	0.22939235	0.18181818181818182	0.8489477	5.355591	1
MCOLN3	0.012017207	0.013376375	0.008729388942774006	7.1304385e-10	0.0	-7.0742784	10.338868	1
AC104506.1	0.005844024	0.006505041	0.004655674102812803	7.1304385e-10	0.0	-6.0454855	5.5938373	1
GSTM3	0.31562567	0.2991638	0.19321047526673132	0.4611743	0.34476843910806176	0.6242072	7.4480247	1
TXNIP	0.81236184	0.7158489	0.38816682832201743	1.6657689	0.8336192109777015	1.2183462	41.728313	1
S100A13	0.45947444	0.43928584	0.2762366634335596	0.6380383	0.4562607204116638	0.5383808	8.725292	1
SLC27A3	0.1547186	0.14121388	0.09466537342386033	0.27411216	0.21612349914236706	0.95638937	7.671293	1
IL6R	0.009273449	0.0101901945	0.008147429679922406	0.0011682262	0.0017152658662092624	-3.0203862	5.1309724	1
SHC1	0.27824882	0.26239797	0.17710960232783704	0.4183932	0.3241852487135506	0.67289793	7.691967	1
CRABP2	0.2034874	0.18591829	0.11677982541222115	0.35882315	0.2624356775300172	0.94823045	9.359655	1
RGS5	0.15772581	0.17089933	0.09020368574199807	0.041221198	0.025728987993138937	-2.0490367	19.034187	1
PAPPA2	0.007362246	0.008194965	0.004655674102812803	7.1304385e-10	0.0	-6.3741536	5.648091	1
RGL1	0.18630414	0.17403178	0.11464597478176528	0.29480267	0.23499142367066894	0.7600593	6.227727	1
NIBAN1	0.030465903	0.032884445	0.02677012609117362	0.009073876	0.010291595197255575	-1.8461827	6.061403	1
TNNT2	0.025385978	-5.2023097e-09	0.0	0.24985367	0.18867924528301888	11.28752	25.209232	1
TNNI1	0.0647178	0.043252327	0.028322017458777885	0.25452405	0.19382504288164665	2.5541873	18.867962	1
PHLDA3	0.17788148	0.16166103	0.1096023278370514	0.32129	0.2555746140651801	0.9904608	9.725851	1
NAV1	0.3311349	0.31223443	0.19903006789524733	0.49824208	0.3584905660377358	0.6740448	8.711683	1
FMOD	0.0075428486	0.008395992	0.005431619786614937	7.1304385e-10	0.0	-6.4087005	6.637938	1
G0S2	0.2501889	0.20597938	0.12143549951503395	0.6410835	0.36192109777015435	1.6375371	24.32623	1
SYT14	0.023588978	0.025934514	0.01571290009699321	0.002842504	0.0017152658662092624	-3.145309	7.744244	1
CENPF	0.4819491	0.49926147	0.22056256062075655	0.32895485	0.16123499142367068	-0.6017564	5.4000983	1
KCNK1	0.021732278	0.015410851	0.010863239573229874	0.077627875	0.06518010291595197	2.3251543	5.8731933	1
IRF2BP2	0.27877662	0.26530522	0.17090203685741998	0.39788064	0.31046312178387653	0.5845015	5.9163	1
CHRM3	0.14625484	0.15522602	0.09097963142580019	0.066908024	0.04631217838765009	-1.2128937	8.32294	1
COLEC11	0.047701478	0.033142053	0.023666343355965083	0.17643526	0.137221269296741	2.408875	12.368192	1
SOX11	0.08815293	0.09440405	0.055092143549951504	0.032887492	0.0274442538593482	-1.518457	8.889588	1
EMILIN1	0.56258094	0.5368397	0.32609117361784673	0.7902368	0.5385934819897084	0.55770737	12.092955	1
PLEKHH2	0.25559008	0.24141416	0.1513094083414161	0.38092113	0.27787307032590053	0.6577632	6.1094646	1
ERLEC1	0.34299353	0.32797423	0.21241513094083414	0.47578457	0.3602058319039451	0.53658944	6.318552	1
C1D	0.40164414	0.38497716	0.24966052376333656	0.54906386	0.411663807890223	0.51208925	7.0473595	1
AC017083.1	0.007124564	0.007930403	0.005819592628516004	7.1304385e-10	0.0	-6.32739	6.9909997	1
DYSF	0.007300364	0.008126085	0.005431619786614937	7.1304385e-10	0.0	-6.362124	6.594308	1
ACTG2	0.011126284	0.012384692	0.009117361784675072	7.1304385e-10	0.0	-6.9640064	10.245883	1
MIR4435-2HG	0.17518328	0.18282636	0.12570320077594568	0.10758111	0.08919382504288165	-0.7644977	5.2530456	1
DBI	0.66407675	0.6909325	0.40252182347235693	0.42668092	0.32075471698113206	-0.69525796	17.136196	1
AC012306.3	0.007217426	0.008033766	0.005819592628516004	7.1304385e-10	0.0	-6.3458414	7.1154346	1
LYPD1	0.016846519	0.018751854	0.011057225994180407	7.1304385e-10	0.0	-7.5585523	12.641488	1
MCM6	0.11180945	0.11816236	0.08283220174587778	0.055614363	0.04974271012006861	-1.0858697	6.6594634	1
KIF5C	0.23190407	0.2044308	0.1280310378273521	0.47481373	0.3361921097770154	1.2153473	17.481796	1
NFE2L2	0.34290147	0.32318932	0.2104752667313288	0.5171877	0.38078902229845624	0.6781412	9.569558	1
FKBP7	0.27371886	0.25712517	0.16721629485935985	0.42042977	0.3190394511149228	0.7091762	8.097831	1
TTN	0.0633142	0.03485556	0.023666343355965083	0.31495315	0.23842195540308747	3.1720011	26.193176	1
TFPI	0.5402505	0.50962454	0.3136760426770126	0.811094	0.5471698113207547	0.6703292	16.30433	1
GULP1	0.08153015	0.071698725	0.0475266731328807	0.16846812	0.13550600343053174	1.2313017	6.3998156	1
DOCK10	0.035049938	0.037929893	0.027740058195926284	0.009578112	0.008576329331046312	-1.9743364	6.76484	1
ARPP21	0.0065649883	0.007307542	0.0038797284190106693	7.1304385e-10	0.0	-6.2109127	5.026986	1
TMEM158	0.08908887	0.0749846	0.047332686711930166	0.21380822	0.14922813036020582	1.510403	8.734766	1
MYL3	0.013064449	0.00650688	0.004073714839961203	0.07104822	0.05660377358490566	3.4287868	6.3204994	1
NBEAL2	0.009320853	0.010375079	0.007177497575169738	7.1304385e-10	0.0	-6.710807	8.215327	1
IMPDH2	0.530543	0.50675124	0.31387002909796313	0.7409594	0.5403087478559176	0.5480268	12.019224	1
ABHD14A	0.15217146	0.14215088	0.0950533462657614	0.24075815	0.19210977701543738	0.7597462	5.033508	1
TNNC1	0.015466675	0.0005007278	0.0003879728419010669	0.14779851	0.1183533447684391	7.9436803	15.697431	1
TKT	0.65685093	0.62473905	0.3778855480116392	0.9408324	0.614065180102916	0.59060633	16.988995	1
WNT5A	0.3230032	0.33382165	0.19728419010669254	0.2273254	0.1680960548885077	-0.5541162	5.053923	1
TMF1	0.32063606	0.30578917	0.19786614936954414	0.4519032	0.3516295025728988	0.563324	6.5711665	1
CADM2	0.017966168	0.019805297	0.012415130940834141	0.0017050552	0.0017152658662092624	-3.4630375	8.444543	1
MTRNR2L12	0.30420902	0.28307846	0.18254122211445198	0.4910378	0.37564322469982847	0.79441625	11.531954	1
NFKBIZ	0.14424245	0.1269805	0.08477206595538313	0.29686046	0.22126929674099485	1.2245282	10.651113	1
C3orf52	0.011275023	0.012394107	0.00834141610087294	0.0013806942	0.0017152658662092624	-3.0769022	5.441047	1
FAM162A	0.42211318	0.3835447	0.23200775945683802	0.76318663	0.48713550600343053	0.9924542	21.786423	1
TRH	0.006074333	-5.2023097e-09	0.0	0.059784822	0.04974271012006861	9.226122	6.977642	1
