gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
FAM138A	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
OR4F5	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AL627309.1	0.0016285758	0.0015750946	0.0011639185257032007	0.0021013366	0.0017152658662092624	0.3941373	0.09078998	0
AL627309.3	0.00021768047	0.00024229698	0.00019398642095053346	7.1304385e-10	0.0	-1.7752384	0.49847698	0
AL627309.2	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AL627309.5	0.018565241	0.01743355	0.012027158098933075	0.028572645	0.025728987993138937	0.7095568	0.8248608	0
AL627309.4	0.0017548628	0.0014271523	0.0011639185257032007	0.00465239	0.0017152658662092624	1.6378093	0.30793166	0
AP006222.2	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AL732372.1	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
OR4F29	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AC114498.1	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
OR4F16	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AL669831.2	0.0007770872	0.00061182305	0.0003879728419010669	0.002238323	0.0017152658662092624	1.7158836	0.32222185	0
LINC01409	0.03302676	0.031727266	0.021532492725509216	0.04451005	0.032590051457975985	0.4871056	0.6138051	0
FAM87B	0.00027406233	0.00030506877	0.00019398642095053346	7.1304385e-10	0.0	-2.0181565	0.49842164	0
LINC01128	0.060379345	0.06163982	0.04248302618816683	0.04924193	0.03945111492281304	-0.32338712	0.57776463	0
LINC00115	0.011135883	0.01113206	0.006983511154219205	0.011170527	0.010291595197255575	0.0049324483	0.002675697	0
FAM41C	0.0067799953	0.007272706	0.005819592628516004	0.0024241835	0.0017152658662092624	-1.5463773	1.0870409	0
AL645608.6	0.0006205695	0.00069073687	0.0005819592628516004	7.1304385e-10	0.0	-2.9831874	1.0269947	0
AL645608.2	0.007693374	0.005652017	0.0034917555771096023	0.025744323	0.02058319039451115	2.1677074	2.0643353	0
AL645608.4	0.00039444113	-5.2023097e-09	0.0	0.003882211	0.003430531732418525	5.3155727	0.7959575	0
LINC02593	0.033454835	0.03127	0.02017458777885548	0.05276668	0.044596912521440824	0.7529732	1.3256562	0
SAMD11	0.20583291	0.19198048	0.11774975751697381	0.32830232	0.241852487135506	0.77375335	6.437708	1
NOC2L	0.18102235	0.17819956	0.11949563530552862	0.20596342	0.16638078902229847	0.2087852	0.73229384	0
KLHL17	0.020310633	0.019328032	0.013191076624636276	0.028999692	0.024013722126929673	0.58286417	0.6212823	0
PLEKHN1	0.00031308577	0.00034850553	0.00019398642095053346	7.1304385e-10	0.0	-2.1651156	0.49833804	0
PERM1	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AL645608.7	0.0076436494	0.0083556315	0.006401551891367604	0.0013489922	0.0017152658662092624	-2.5448627	3.3006117	0
HES4	0.40767375	0.40447623	0.2502424830261882	0.4360191	0.30017152658662094	0.108310685	0.5017085	0
ISG15	0.1615994	0.15971269	0.10475266731328807	0.1782624	0.14408233276157806	0.15842956	0.45568284	0
AL645608.1	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AGRN	0.12731904	0.12998295	0.09097963142580019	0.103743605	0.08919382504288165	-0.32501942	1.0483149	0
AL645608.5	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AL645608.8	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
RNF223	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
C1orf159	0.030906001	0.030769069	0.020368574199806012	0.032110155	0.030874785591766724	0.06135372	0.06013083	0
AL390719.3	0.00042217883	0.00046993635	0.0003879728419010669	7.1304385e-10	0.0	-2.5107906	0.77323085	0
LINC01342	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
AL390719.2	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
TTLL10-AS1	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
TTLL10	-2.9831426e-09	-5.2023097e-09	0.0	7.1304385e-10	0.0	8.530087e-05	41.728313	0
TNFRSF18	0.0034140006	0.002788515	0.0019398642095053346	0.008945222	0.00686106346483705	1.6468278	0.7289841	0
TNFRSF4	0.003542216	0.0036045949	0.002521823472356935	0.002991475	0.0017152658662092624	-0.26102045	0.07238996	0
SDF4	0.33334306	0.32720065	0.21086323957322986	0.3876437	0.307032590051458	0.2444868	1.6224504	0
B3GALT6	0.11893469	0.11686977	0.07972841901066925	0.13717282	0.11663807890222985	0.23091024	0.6273065	0
C1QTNF12	0.026108682	0.025249362	0.016294859359844812	0.033700336	0.025728987993138937	0.41508827	0.44260722	0
AL162741.1	0.0011079245	0.0010230477	0.0007759456838021338	0.001858295	0.0017152658662092624	0.802179	0.17687845	0
UBE2J2	0.20270953	0.20018406	0.13346265761396703	0.2250226	0.18524871355060035	0.16866325	0.60656554	0
LINC01786	0.0007168182	0.0006028438	0.0003879728419010669	0.0017246002	0.0017152658662092624	1.3763043	0.2764789	0
SCNN1D	0.0015262055	0.0015002325	0.0011639185257032007	0.001755736	0.0017152658662092624	0.21370988	0.05008239	0
ACAP3	0.07910138	0.07374391	0.05179437439379243	0.12648043	0.10463121783876501	0.77750355	2.908734	0
PUSL1	0.0646199	0.062126473	0.0446168768186227	0.08667465	0.07375643224699828	0.4797452	1.1318039	0
