	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
1	FAM138A	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
2	OR4F5	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
3	AL627309.1	0.0015750946	0.0027524587	0.76796347	0.35176542	0
4	AL627309.3	0.00024229698	1.3096724e-09	-1.7752297	0.4984753	0
5	AL627309.2	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
6	AL627309.5	0.01743355	0.021867659	0.32526305	0.44217867	0
7	AL627309.4	0.0014271523	0.0015639972	0.12380914	0.038984973	0
8	AP006222.2	-5.2023097e-09	0.00085352943	3.2533526	0.49830285	0
9	AL732372.1	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
10	OR4F29	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
11	AC114498.1	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
12	OR4F16	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
13	AL669831.2	0.00061182305	0.0016341093	1.2846043	0.38590214	0
14	LINC01409	0.031727266	0.039382808	0.31096134	0.61346734	0
15	FAM87B	0.00030506877	1.3096724e-09	-2.018148	0.4984203	0
16	LINC01128	0.06163982	0.07352568	0.25400785	0.7278545	0
17	LINC00115	0.01113206	0.0066837757	-0.72746223	0.842027	0
18	FAM41C	0.007272706	0.0022311443	-1.6611558	1.7721686	0
19	AL645608.6	0.00069073687	0.00347175	2.1753616	0.8686561	0
20	AL645608.2	0.005652017	0.023465607	2.034543	3.91372	0
21	AL645608.4	-5.2023097e-09	0.0004894657	2.559483	0.49831265	0
22	LINC02593	0.03127	0.056825615	0.8596924	3.0187705	0
23	SAMD11	0.19198048	0.52891225	1.4615902	44.55244	1
24	NOC2L	0.17819956	0.22534446	0.338469	2.7174869	0
25	KLHL17	0.019328032	0.026450818	0.45061663	0.7146204	0
26	PLEKHN1	0.00034850553	0.0025464853	2.56088	0.83221555	0
27	PERM1	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
28	AL645608.7	0.0083556315	0.0056118034	-0.5659661	0.5504592	0
29	HES4	0.40447623	0.43173802	0.09407865	0.7056669	0
30	ISG15	0.15971269	0.2289354	0.5191887	5.4144473	1
31	AL645608.1	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
32	AGRN	0.12998295	0.10169036	-0.3538309	2.0383077	0
33	AL645608.5	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
34	AL645608.8	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
35	RNF223	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
36	C1orf159	0.030769069	0.026627824	-0.20781958	0.32683933	0
37	AL390719.3	0.00046993635	0.00091705174	0.8355204	0.18858434	0
38	LINC01342	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
39	AL390719.2	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
40	TTLL10-AS1	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
41	TTLL10	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
42	TNFRSF18	0.002788515	0.0007853137	-1.7060673	1.0349615	0
43	TNFRSF4	0.0036045949	0.0035641168	-0.015850252	0.0068163103	0
44	SDF4	0.32720065	0.38150057	0.22144684	2.3945632	0
45	B3GALT6	0.11686977	0.15604903	0.4167879	2.7877083	0
46	C1QTNF12	0.025249362	0.043042433	0.7671582	2.0452938	0
47	AL162741.1	0.0010230477	0.0015710875	0.5733681	0.1805646	0
48	UBE2J2	0.20018406	0.27173266	0.44067115	5.046265	0
49	LINC01786	0.0006028438	0.0012079627	0.8960453	0.19488016	0
50	SCNN1D	0.0015002325	0.0016134538	0.098625846	0.030862987	0
51	ACAP3	0.07374391	0.092929356	0.3332071	1.281662	0
52	PUSL1	0.062126473	0.07928481	0.3513345	1.2702577	0
53	INTS11	0.1314699	0.16194142	0.30053312	1.7243782	0
54	AL139287.1	0.00019813667	0.0008456536	1.665338	0.34097856	0
55	CPTP	0.052280825	0.062731534	0.26245004	0.6590505	0
56	TAS1R3	0.00036193078	1.3096724e-09	-2.2076578	0.4984019	0
57	DVL1	0.04117861	0.050062664	0.2812196	0.640667	0
58	MXRA8	0.18117315	0.31738642	0.8085296	14.391165	1
59	AURKAIP1	0.5811967	0.6857764	0.23867384	5.2994866	0
60	CCNL2	0.36023563	0.400572	0.15308037	1.4175663	0
61	MRPL20-AS1	0.031951256	0.04150124	0.3762456	0.81356907	0
62	MRPL20	0.66380125	0.71865404	0.11452951	1.7170898	0
63	AL391244.2	0.0035224091	0.0049152654	0.46937653	0.26896632	0
64	ANKRD65	0.002438539	0.0013775931	-0.7807493	0.3639935	0
65	AL391244.1	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
66	TMEM88B	-5.2023097e-09	1.3096724e-09	9.389947e-05	44.55244	0
67	LINC01770	0.00073338655	1.3096724e-09	-3.058967	0.79524636	0
68	VWA1	0.034033038	0.088199995	1.3712445	8.603968	1
69	ATAD3C	0.00446819	0.0029537608	-0.5810355	0.3281799	0
70	ATAD3B	0.032984946	0.03957368	0.26200736	0.51567835	0
71	ATAD3A	0.05339262	0.05967783	0.16027077	0.36084592	0
72	TMEM240	0.05653341	0.07763519	0.45691448	1.6932571	0
73	SSU72	0.4855646	0.53681177	0.14472482	1.7495674	0
74	AL645728.1	0.014718857	0.021688346	0.5561226	0.838314	0
75	FNDC10	0.040664032	0.043348093	0.09199605	0.15745638	0
76	AL691432.4	0.002713028	0.0034430982	0.33288747	0.1475356	0
77	AL691432.2	0.03733957	0.02909254	-0.3589642	0.76726395	0
78	MIB2	0.06258929	0.09597313	0.61591405	3.1763554	0
79	MMP23B	0.12350151	0.22857612	0.88760936	11.716773	1
80	CDK11B	0.16476431	0.20538558	0.31775802	2.3123598	0
81	FO704657.1	0.0014597446	0.0033482048	1.1445357	0.5263674	0
82	SLC35E2B	0.10130601	0.10926789	0.10904615	0.33337733	0
