	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
1405	CCN1	0.19644956	0.40301716	1.0363059	8.519889	1
1565	COL11A1	0.13616365	0.30810252	1.1774778	8.398182	1
1872	GJA5	0.0103008365	0.07140635	2.7813718	6.4584503	1
2899	G0S2	0.2485553	0.11708035	-1.0854166	5.121931	1
3189	SIPA1L2	0.16265151	0.31304315	0.9441513	6.3235354	1
4144	ANTXR1	0.59723735	0.4144667	-0.5269417	5.1442776	1
4487	DUSP2	0.19149393	0.35146815	0.87575245	5.4597483	1
5020	GALNT13	0.007980117	0.059533652	2.8836787	5.6122603	1
5412	NDUFB3	0.48264802	0.2535294	-0.92854846	9.764731	1
5688	SCG2	0.028300196	0.17448425	2.6199508	8.96327	1
6954	GAP43	0.01744742	0.07728886	2.140867	5.05267	1
7029	SEMA5B	0.38349456	0.5710239	0.57422155	5.34831	1
7487	MECOM	0.5522255	0.89367664	0.69439566	11.992418	1
8231	UCHL1	0.5395312	0.80259377	0.572876	7.7454085	1
8301	USP46	0.29395917	0.47395718	0.6889546	6.23728	1
8305	DANCR	0.29814762	0.46251267	0.63329417	5.467166	1
8462	ALB	0.037232205	0.12844972	1.7838339	6.5163083	1
8624	GPRIN3	0.2705824	0.44848624	0.7287842	6.0213947	1
8824	USP53	0.21164562	0.38601235	0.86668855	5.6653733	1
9114	TDO2	0.21086085	0.08443199	-1.3194059	5.127741	1
9909	ADAMTS6	0.15978895	0.2867875	0.84341484	5.023517	1
10039	F2R	0.31778696	0.4850307	0.6098597	5.332391	1
11299	DSP	0.4162992	0.93273944	1.1636616	24.173416	1
12508	PLN	0.40057734	0.21279503	-0.9122986	5.952713	1
12633	AL035604.1	0.027590526	0.10781431	1.9624219	5.656843	1
13170	THSD7A	0.10095217	0.24522193	1.2795758	7.6778865	1
13178	ARL4A	0.56993055	0.35006586	-0.70300096	6.7971506	1
13502	MYL7	0.16350773	0.31089616	0.92665577	6.17528	1
15242	PLAT	0.95466006	1.4656296	0.6184088	17.021938	1
15247	VDAC3	0.3685703	0.5378347	0.54510003	5.233609	1
15587	RALYL	0.01903676	0.11243416	2.5559444	8.969109	1
15706	SDC2	0.6005529	0.40961477	-0.5519118	5.065087	1
16281	PTPRD	0.2222849	0.39799598	0.84005743	7.122114	1
17221	ENG	0.7119567	1.1693343	0.7157468	17.124308	1
17225	ST6GALNAC4	0.13821597	0.2702247	0.96672535	5.936607	1
17630	GATA3	0.66699314	1.2487471	0.90463674	23.899315	1
17631	GATA3-AS1	0.018555582	0.08194729	2.1368482	5.448717	1
17647	CELF2	0.039180342	0.13853358	1.8193972	6.663128	1
17816	BAMBI	0.3681967	0.6101204	0.72846204	7.9973288	1
17935	CXCL12	0.08280303	0.224223	1.4360808	8.039904	1
18114	TET1	0.38845935	0.5888256	0.5999504	6.4235754	1
18180	P4HA1	0.592617	0.888045	0.5834518	9.706027	1
19030	TSSC4	0.15456948	0.28680515	0.89138526	5.912309	1
19363	NAV2	0.025035722	0.11285029	2.167877	7.254273	1
20682	TAGLN	0.27753106	0.6698945	1.2709805	15.700772	1
21355	PDE3A	0.40536875	0.6957332	0.77915084	11.6391535	1
23021	FLT1	0.5285919	0.903889	0.77387804	13.039943	1
23568	EFNB2	0.8375244	1.3115497	0.647007	16.896885	1
24087	EGLN3	0.4743412	0.7275737	0.6170624	8.104199	1
24228	TRIM9	0.061709795	0.15329295	1.3113248	5.0959954	1
25863	SMAD6	0.0957912	0.23395382	1.28737	7.7911797	1
26871	MYH11	0.21975325	0.44894376	1.0303152	8.11007	1
28446	MYOCD	0.0121530015	0.082662374	2.7558398	6.896949	1
29223	UBTF	0.40809342	0.6163286	0.59468096	6.802354	1
30343	OSBPL1A	0.34689444	0.58195084	0.7462327	8.666027	1
30742	CBLN2	0.038674906	0.12704483	1.7132776	5.6354966	1
31588	PDE4C	0.05860697	0.14778903	1.3329113	5.279789	1
32045	ZFP36	0.3857424	0.11627271	-1.7292589	15.346844	1
32496	AC020909.2	0.44221795	0.22811536	-0.9546878	8.4900465	1
33372	MYL9	0.3862999	0.6647403	0.78291327	9.78906	1
33530	MMP9	1.8630173	0.9640515	-0.9503867	15.373794	1
35908	DACH2	0.007312531	0.05407749	2.8696556	5.3233275	1
