gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
FAM138A	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
OR4F5	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL627309.1	0.0016062967	0.0016819622	0.0012202562538133007	4.5838533e-10	0.0	-4.1553884	3.2094948	0
AL627309.3	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL627309.2	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL627309.5	0.013198387	0.012983156	0.010270490136261948	0.017763173	0.01511879049676026	0.4492778	0.31083015	0
AL627309.4	0.0011817672	0.0011141724	0.0007118161480577588	0.0026173296	0.0021598272138228943	1.1622164	0.24331233	0
AP006222.2	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL732372.1	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
OR4F29	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AC114498.1	0.00017745476	0.00018581442	0.0001016880211511084	4.5838533e-10	0.0	-1.5150722	0.4983672	0
OR4F16	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL669831.2	0.0013448604	0.0012308456	0.0009151921903599756	0.0037663733	0.0021598272138228943	1.5386379	0.29773533	0
LINC01409	0.028224489	0.027338019	0.020032540166768354	0.04706079	0.0367170626349892	0.78141165	1.0380825	0
FAM87B	0.0007271925	0.00076142343	0.000508440105755542	4.5838533e-10	0.0	-3.106716	1.5843312	0
LINC01128	0.058624912	0.057682812	0.04382753711612772	0.07861345	0.06263498920086392	0.4459698	0.8104249	0
LINC00115	0.010578566	0.010437419	0.008338417734390889	0.013577337	0.01079913606911447	0.37626585	0.21179494	0
FAM41C	0.006173457	0.0064641517	0.004881025015253203	4.5838533e-10	0.0	-6.03653	10.952675	1
AL645608.6	0.00031112225	0.00032576398	0.0002033760423022168	4.5838533e-10	0.0	-2.0900474	0.79838616	0
AL645608.2	0.002182544	0.0020929324	0.0017286963595688429	0.0040866947	0.004319654427645789	0.93295026	0.29652682	0
AL645608.4	0.00021099098	0.00022092962	0.0002033760423022168	4.5838533e-10	0.0	-1.6822504	0.7636101	0
LINC02593	0.020930791	0.020606183	0.014744763066910718	0.027818803	0.02591792656587473	0.43117547	0.4094182	0
SAMD11	0.096033774	0.08962565	0.06263982102908278	0.23212162	0.15982721382289417	1.37191	7.114385	1
NOC2L	0.16624369	0.16674273	0.12344925767744559	0.15562497	0.12742980561555076	-0.09948849	0.2375905	0
KLHL17	0.015407251	0.014939892	0.01138905836892414	0.025327297	0.02159827213822894	0.7575839	0.6702924	0
PLEKHN1	0.0014329805	0.0013685754	0.0011185682326621924	0.0028007983	0.0021598272138228943	0.9820327	0.21230893	0
PERM1	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL645608.7	0.013518032	0.013656151	0.009965426072808623	0.010577618	0.008639308855291577	-0.36548692	0.23943767	0
HES4	0.8273436	0.8107208	0.49227171039251577	1.1804479	0.7019438444924406	0.5420016	16.99542	1
ISG15	0.18898173	0.18905137	0.13565182021557862	0.18748225	0.1511879049676026	-0.012017932	0.025591662	0
AL645608.1	6.821214e-05	7.142289e-05	0.0001016880211511084	4.5838533e-10	0.0	-0.7775531	0.49852768	0
AGRN	0.20741753	0.20726481	0.14744763066910718	0.21073698	0.17062634989200864	0.02395684	0.05568624	0
AL645608.5	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL645608.8	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
RNF223	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
C1orf159	0.022692721	0.023223845	0.017083587553386213	0.011405022	0.01079913606911447	-1.019542	1.5085071	0
AL390719.3	0.000395221	0.00041382224	0.0003050640634533252	4.5838533e-10	0.0	-2.3612628	1.0780196	0
LINC01342	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
AL390719.2	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
TTLL10-AS1	0.000103240025	0.00010810556	0.0001016880211511084	4.5838533e-10	0.0	-1.0573089	0.49847785	0
TTLL10	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
TNFRSF18	0.0036567303	0.003268193	0.00254220052877771	0.01190996	0.008639308855291577	1.8341845	0.7801235	0
TNFRSF4	0.0032397062	0.0030670124	0.0022371364653243847	0.006908434	0.004319654427645789	1.1459696	0.3593715	0
SDF4	0.40248182	0.40019202	0.28004881025015255	0.45118245	0.3542116630669546	0.17297786	1.0297148	0
B3GALT6	0.14172556	0.14230527	0.10717917429326826	0.1293928	0.10583153347732181	-0.13713065	0.31276473	0
C1QTNF12	0.014096565	0.013079768	0.009355297945901973	0.035686553	0.028077753779697623	1.4410927	1.6101516	0
AL162741.1	0.0006496556	0.000680236	0.000508440105755542	4.5838533e-10	0.0	-2.963904	1.5883738	0
UBE2J2	0.22100076	0.21611108	0.1587350010168802	0.32492885	0.2591792656587473	0.5881273	4.262955	0
LINC01786	0.0010880757	0.0011392976	0.0008135041692088672	4.5838533e-10	0.0	-3.6314442	2.2719843	0
SCNN1D	0.002760747	0.0025331178	0.0018303843807199512	0.0075962627	0.0064794816414686825	1.547386	0.590001	0
ACAP3	0.08803614	0.08684322	0.0653853976001627	0.11335352	0.09287257019438445	0.38395593	0.9021496	0
PUSL1	0.07125009	0.07070901	0.053691275167785234	0.08272136	0.06911447084233262	0.22606993	0.37180153	0
INTS11	0.15174437	0.15088177	0.11073825503355705	0.17004453	0.1447084233261339	0.17238645	0.46410578	0
AL139287.1	0.0003639262	0.000381054	0.0003050640634533252	4.5838533e-10	0.0	-2.2661922	1.0763049	0
CPTP	0.04924009	0.048820145	0.037014439699003455	0.058167335	0.04967602591792657	0.2522586	0.34466326	0
TAS1R3	0.00019941878	9.719008e-05	0.0001016880211511084	0.0023708106	0.0021598272138228943	3.6473255	0.47049624	0
DVL1	0.049592365	0.048814148	0.03670937563555013	0.066129185	0.058315334773218146	0.4372153	0.7460759	0
MXRA8	0.16971827	0.16977441	0.11938173683140126	0.16850619	0.13390928725701945	-0.010811078	0.02120713	0
AURKAIP1	0.75744206	0.75896096	0.4854586129753915	0.72523373	0.5291576673866091	-0.06557079	0.47132427	0
CCNL2	0.37704295	0.3758567	0.26205003050640635	0.40230867	0.3045356371490281	0.09809491	0.42049718	0
MRPL20-AS1	0.029485255	0.029340992	0.021252796420581657	0.03255767	0.028077753779697623	0.14959565	0.13600002	0
MRPL20	0.71506447	0.7163994	0.4636973764490543	0.68676645	0.4816414686825054	-0.060935847	0.38417435	0
AL391244.2	0.0022683267	0.0021531174	0.0016270083384177345	0.004716135	0.004319654427645789	1.0959532	0.34836933	0
ANKRD65	0.0013675621	0.0013039493	0.0009151921903599756	0.0027185522	0.0021598272138228943	1.0054635	0.21633515	0
AL391244.1	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
TMEM88B	5.682523e-09	5.173206e-09	0.0	4.5838533e-10	0.0	-6.802074e-05	44.55244	0
LINC01770	0.00027882715	0.00029195962	0.0002033760423022168	4.5838533e-10	0.0	-1.9706985	0.8022194	0
VWA1	0.050517704	0.04805347	0.034573927191376856	0.10285832	0.07991360691144708	1.0963488	2.8959305	0
ATAD3C	0.0018442257	0.001806999	0.0014236322961155175	0.0026357397	0.0021598272138228943	0.52062696	0.12066969	0
ATAD3B	0.029918728	0.030155491	0.02287980475899939	0.024898222	0.023758099352051837	-0.27537155	0.3007301	0
ATAD3A	0.0594804	0.05931156	0.04586129753914989	0.06304547	0.05399568034557235	0.087935574	0.11220756	0
TMEM240	0.045484077	0.043690477	0.03243847874720358	0.08358697	0.07127429805615551	0.93438584	2.1889675	0
SSU72	0.56625366	0.56451505	0.3822452715070165	0.6032355	0.43628509719222464	0.09569287	0.5794775	0
AL645728.1	0.013339661	0.013099686	0.009863738051657515	0.018430052	0.01511879049676026	0.48936328	0.34010515	0
FNDC10	0.03906651	0.039421264	0.030303030303030304	0.031539794	0.02591792656587473	-0.3208889	0.38324574	0
AL691432.4	0.0014785301	0.0014751102	0.0014236322961155175	0.0015515593	0.0021598272138228943	0.06837599	0.016836816	0
AL691432.2	0.034384318	0.034612823	0.02532031726662599	0.029539188	0.023758099352051837	-0.22796287	0.23494191	0
