	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
23	SAMD11	0.08962565	0.28669232	1.6764139	20.185062	1
29	HES4	0.8107208	1.1560206	0.511837	25.118484	1
48	UBE2J2	0.21611108	0.3186414	0.55994594	6.1092215	1
68	VWA1	0.04805347	0.1298753	1.4325259	7.7191553	1
79	MMP23B	0.03116629	0.090916865	1.5415258	5.9942784	1
202	VAMP3	0.22802988	0.35760316	0.6489074	8.310241	1
219	ENO1	1.0782498	1.7852975	0.7274201	44.55244	1
245	RBP7	0.047959037	0.014111967	-1.7577016	9.695057	1
250	PGD	0.4070295	0.25137052	-0.6950985	14.542879	1
267	EXOSC10-AS1	0.0041548004	9.385985e-10	-5.411006	7.0511956	1
291	PLOD1	0.19371742	0.3533882	0.86696374	12.070413	1
339	KAZN	0.12720944	0.36661124	1.526305	24.09718	1
374	HSPB7	0.010329791	0.115746096	3.4734273	14.014196	1
431	UBR4	0.15657187	0.24036852	0.61810195	5.2027	1
464	CAMK2N1	0.33627626	0.5216235	0.6332095	9.327472	1
477	ECE1	0.2142577	0.32136762	0.58465314	6.1803775	1
482	ALPL	0.0042850045	9.385985e-10	-5.454493	8.903809	1
487	HSPG2	0.1573761	0.24517283	0.63925457	5.4147477	1
530	HMGCL	0.08063377	0.15622891	0.95334053	5.9612494	1
562	RSRP1	0.389112	0.5834051	0.5841892	12.090157	1
666	EPB41	0.06223664	0.13542995	1.1204594	6.193188	1
691	ZCCHC17	0.24936469	0.37831303	0.60112613	7.766468	1
693	FABP3	0.04353953	0.10407779	1.2553402	5.357707	1
697	TINAGL1	0.052765623	0.15262343	1.5305196	9.169235	1
723	FAM167B	0.0034754057	9.385985e-10	-5.160022	5.689799	1
767	GJA4	0.24771287	0.37180543	0.58568466	6.238579	1
770	TMEM35B	0.21967505	0.33471498	0.6073364	6.8417087	1
797	SH3D21	0.030387327	0.082639	1.4403579	5.4411273	1
830	FHL3	0.29482052	0.5385949	0.86914235	19.752958	1
854	HEYL	0.30083883	0.48272747	0.68203753	12.539779	1
871	RLF	0.19565502	0.3020697	0.62630963	6.5828524	1
930	SLC2A1	0.017204698	0.22618845	3.7089272	24.589905	1
950	PTPRF	0.055763967	0.17297494	1.6314069	12.125628	1
968	ERI3	0.20771573	0.2988158	0.52443415	5.179752	1
1001	PIK3R3	0.13128932	0.051651817	-1.3441665	15.154383	1
1081	TXNDC12	0.27345932	0.41535038	0.60282254	8.961065	1
1149	DHCR24	0.120641455	0.045715287	-1.3980201	15.405729	1
1166	PLPP3	0.071890004	0.028433941	-1.3351176	8.535561	1
1173	DAB1	0.0033713458	9.385985e-10	-5.1174097	5.7687774	1
1182	JUN	0.35613516	0.53877234	0.59711367	8.19468	1
1230	PGM1	0.096189454	0.18673974	0.9563516	6.9127994	1
1240	AK4	0.016916709	0.16537914	3.2816255	18.832695	1
1268	RPE65	0.002896002	9.385985e-10	-4.904953	5.5446954	1
1343	MIGA1	0.13289829	0.23695962	0.8338423	7.5809865	1
1353	IFI44L	0.047114324	0.01737426	-1.4339932	6.423403	1
1354	IFI44	0.09368457	0.036257777	-1.3670865	11.7279625	1
1423	LMO4	0.38092017	0.7916942	1.0552583	31.612082	1
1466	EPHX4	0.0030305136	9.385985e-10	-4.968314	5.451616	1
1481	CCDC18-AS1	0.1771122	0.3078196	0.7970757	9.186656	1
1565	COL11A1	0.0764005	0.30810252	2.0103374	24.06325	1
1580	NTNG1	0.012780659	0.07908751	2.6200666	7.941275	1
1617	AMIGO1	0.003916639	9.385985e-10	-5.3279033	6.6610336	1
1626	GSTM2	0.062073343	0.14114214	1.1838026	6.9888897	1
1631	GSTM3	0.36632937	0.5700968	0.63792485	13.875972	1
1664	AL360270.1	0.0041957153	9.385985e-10	-5.424813	7.389535	1
1715	RSBN1	0.1618874	0.24566866	0.6014193	5.0029364	1
1722	HIPK1-AS1	0.0027968197	9.385985e-10	-4.8563843	5.0904045	1
1726	SYT6	0.026704451	0.0016101807	-3.970252	22.305746	1
1737	TSPAN2	0.028776022	0.09671642	1.7453798	7.043191	1
1778	TBX15	0.008445506	9.385985e-10	-6.4170804	15.787519	1
1844	ITGA10	0.04541824	0.01763826	-1.3595803	5.6319275	1
1853	TXNIP	0.56567454	1.7133288	1.5985872	44.55244	1
1872	GJA5	0.0131658055	0.07140635	2.4303591	7.0502963	1
1917	SV2A	0.046168916	0.106007785	1.1974152	5.349762	1
1919	MTMR11	0.021554569	0.070148386	1.6977937	5.126436	1
1980	TUFT1	0.003181957	9.385985e-10	-5.036471	6.3136597	1
2066	S100A6	0.36678016	0.632656	0.7863404	16.818798	1
2088	CRTC2	0.04516621	0.013344439	-1.7514251	8.897078	1
2089	SLC39A1	0.20656574	0.3125608	0.597299	6.5033255	1
2120	PBXIP1	0.16766407	0.25869367	0.62536854	5.4345655	1
2136	DPM3	0.16143088	0.25404957	0.65386766	5.9727116	1
2162	GON4L	0.30206716	0.43463692	0.5247958	7.7995315	1
2163	SYT11	0.058858432	0.13423951	1.1881136	6.7315435	1
2164	RIT1	0.1931779	0.3379577	0.8065929	10.721547	1
2206	CRABP2	0.17976597	0.44199863	1.297446	24.009117	1
2279	TAGLN2	0.39922437	0.603195	0.59530264	12.141188	1
2331	APOA2	5.173206e-09	0.048775926	8.932906	7.1105657	1
2416	RCSD1	0.073586084	0.29960924	2.0240993	24.1221	1
2525	ASTN1	0.0030128672	9.385985e-10	-4.9601583	5.1236496	1
2616	C1orf21	0.19123942	0.34495983	0.8507123	11.060828	1
2674	CDC73	0.27281156	0.46208462	0.76003575	13.811286	1
2675	B3GALT2	0.0077862255	0.053923283	2.7761745	5.5495024	1
2686	CFH	0.11493815	0.20786205	0.85420793	5.6036105	1
2730	TMEM9	0.18164302	0.33441734	0.8801809	11.564686	1
2734	TNNT2	0.00015439116	0.18949239	9.541636	24.51204	1
2737	TNNI1	0.048310682	0.20770802	2.1018538	17.24974	1
2798	REN	0.06951203	0.40362644	2.5359695	15.95277	1
2809	LRRN2	0.027493576	0.008182702	-1.7361592	6.0794697	1
2853	DYRK3	0.09689468	0.17014885	0.8116675	5.40427	1
2865	C4BPB	0.005290516	9.385985e-10	-5.752338	9.544577	1
2877	CD46	0.4613776	0.66231334	0.52147114	12.322348	1
2899	G0S2	0.20819429	0.11708035	-0.82989246	8.543112	1
2900	HSD11B1	0.006123229	9.385985e-10	-5.959578	11.000222	1
2916	TRAF5	0.12213837	0.22492675	0.8803993	7.6681085	1
