	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.0	0.0			1
1	FAM138A	0.0	0.0			1
2	OR4F5	0.0	0.0			1
3	AL627309.1	0.0	0.0			1
4	AL627309.3	0.0	0.0			1
5	AL627309.2	0.0	0.0			1
6	AL627309.5	0.017763149	0.02406815	0.43823794	0.31200546	0
7	AL627309.4	0.0026173282	0.0009311113	-1.4910693	0.26432347	0
8	AP006222.2	0.0	0.0			1
9	AL732372.1	0.0	0.0			1
10	OR4F29	0.0	0.0			1
11	AC114498.1	0.0	0.0			1
12	OR4F16	0.0	0.0			1
13	AL669831.2	0.0037663719	0.0024953526	-0.5939318	0.11918263	0
14	LINC01409	0.047060955	0.055343546	0.23388454	0.2438976	0
15	FAM87B	0.0	0.00070162717	inf	0.49807817	0
16	LINC01128	0.07861385	0.099320665	0.33731046	0.567042	0
17	LINC00115	0.013577305	0.011651786	-0.22064604	0.101552464	0
18	FAM41C	0.0	0.0010737836	inf	0.4980793	0
19	AL645608.6	0.0	0.0			1
20	AL645608.2	0.004086681	0.010787938	1.4004174	0.70662725	0
21	AL645608.4	0.0	0.001594569	inf	0.49807924	0
22	LINC02593	0.027818734	0.046347223	0.7364262	0.9217833	0
23	SAMD11	0.23212208	0.28669015	0.30460852	1.0175724	0
24	NOC2L	0.15562546	0.21956009	0.49653772	1.8412846	0
25	KLHL17	0.025327189	0.011074255	-1.1934773	0.926986	0
26	PLEKHN1	0.0028007932	0.0	-inf	0.49779904	0
27	PERM1	0.0	0.0			1
28	AL645608.7	0.010577661	0.02407241	1.18636	0.9983812	0
29	HES4	1.180448	1.1560178	-0.030170942	0.20009407	0
30	ISG15	0.18748276	0.21447514	0.19405253	0.49046385	0
31	AL645608.1	0.0	0.0			1
32	AGRN	0.21073756	0.27587262	0.38855484	1.5728964	0
33	AL645608.5	0.0	0.0			1
34	AL645608.8	0.0	0.0			1
35	RNF223	0.0	0.0			1
36	C1orf159	0.011405041	0.020985616	0.87972915	0.69492173	0
37	AL390719.3	0.0	0.0			1
38	LINC01342	0.0	0.0			1
39	AL390719.2	0.0	0.0			1
40	TTLL10-AS1	0.0	0.0			1
41	TTLL10	0.0	0.0			1
42	TNFRSF18	0.011909968	0.0052103912	-1.1927059	0.48028162	0
43	TNFRSF4	0.006908484	0.0024943184	-1.4697235	0.401908	0
44	SDF4	0.4511813	0.4436293	-0.02435264	0.076190844	0
45	B3GALT6	0.12939335	0.14512266	0.16550939	0.30776736	0
46	C1QTNF12	0.03568647	0.029795367	-0.26028922	0.20365587	0
47	AL162741.1	0.0	0.0015880775	inf	0.49808082	0
48	UBE2J2	0.32492846	0.31863922	-0.028198266	0.071268894	0
49	LINC01786	0.0	0.0018157358	inf	0.49807653	0
50	SCNN1D	0.007596342	0.002855246	-1.4116898	0.4757475	0
51	ACAP3	0.11335395	0.11447915	0.014250043	0.018739369	0
52	PUSL1	0.08272186	0.09799714	0.24447098	0.36931962	0
53	INTS11	0.17004512	0.2112948	0.31333962	0.9360786	0
54	AL139287.1	0.0	0.0			1
55	CPTP	0.05816771	0.07935888	0.44817317	0.7038056	0
56	TAS1R3	0.0023707987	0.0017044334	-0.47608098	0.08643552	0
57	DVL1	0.06612939	0.08278918	0.32415074	0.48720914	0
58	MXRA8	0.16850682	0.21784906	0.37052193	1.1531725	0
59	AURKAIP1	0.7252338	0.81723666	0.1723077	1.4538192	0
60	CCNL2	0.40230766	0.45197764	0.1679522	0.7396455	0
61	MRPL20-AS1	0.03255755	0.039215803	0.26844293	0.23841074	0
62	MRPL20	0.6867657	0.72446007	0.077088214	0.40464526	0
63	AL391244.2	0.0047161547	0.0031962716	-0.56122094	0.15127923	0
