	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.0	0.0			1
1	FAM138A	0.0	0.0			1
2	OR4F5	0.0	0.0			1
3	AL627309.1	0.0016819626	0.0	-inf	3.2094977	0
4	AL627309.3	0.0	0.0			1
5	AL627309.2	0.0	0.0			1
6	AL627309.5	0.012983837	0.017763149	0.4521706	0.31077328	0
7	AL627309.4	0.001114077	0.0026173282	1.2322458	0.2433306	0
8	AP006222.2	0.0	0.0			1
9	AL732372.1	0.0	0.0			1
10	OR4F29	0.0	0.0			1
11	AC114498.1	0.00018584935	0.0	-inf	0.49849316	0
12	OR4F16	0.0	0.0			1
13	AL669831.2	0.0012307381	0.0037663719	1.6136516	0.29775077	0
14	LINC01409	0.02733589	0.047060955	0.78373426	1.0382608	0
15	FAM87B	0.0007613198	0.0	-inf	1.5839942	0
16	LINC01128	0.05768332	0.07861385	0.4466293	0.81041914	0
17	LINC00115	0.010438069	0.013577305	0.3793423	0.21174045	0
18	FAM41C	0.006464674	0.0	-inf	10.954331	1
19	AL645608.6	0.00032579267	0.0	-inf	0.79848796	0
20	AL645608.2	0.0020931577	0.004086681	0.96524864	0.296483	0
21	AL645608.4	0.00022100158	0.0	-inf	0.7639647	0
22	LINC02593	0.020604186	0.027818734	0.43311933	0.4095594	0
23	SAMD11	0.089617915	0.23212208	1.3730247	7.115109	1
24	NOC2L	0.16672985	0.15562546	-0.09943432	0.2372484	0
25	KLHL17	0.014939498	0.025327189	0.76155525	0.6703178	0
26	PLEKHN1	0.0013684712	0.0028007932	1.0332704	0.21232627	0
27	PERM1	0.0	0.0			1
28	AL645608.7	0.013656677	0.010577661	-0.3685858	0.23948282	0
29	HES4	0.8107562	1.180448	0.5419945	16.992558	0
30	ISG15	0.18903743	0.18748276	-0.01191397	0.025349338	0
31	AL645608.1	7.1417715e-05	0.0	-inf	0.49848396	0
32	AGRN	0.20725167	0.21073756	0.02406374	0.055919338	0
33	AL645608.5	0.0	0.0			1
34	AL645608.8	0.0	0.0			1
35	RNF223	0.0	0.0			1
36	C1orf159	0.02322093	0.011405041	-1.0257541	1.5079244	0
37	AL390719.3	0.000413842	0.0	-inf	1.078098	0
38	LINC01342	0.0	0.0			1
39	AL390719.2	0.0	0.0			1
40	TTLL10-AS1	0.00010810604	0.0	-inf	0.49848354	0
41	TTLL10	0.0	0.0			1
42	TNFRSF18	0.0032685318	0.011909968	1.8654549	0.7800813	0
43	TNFRSF4	0.0030672126	0.006908484	1.1714408	0.35935378	0
44	SDF4	0.40021908	0.4511813	0.17291729	1.028875	0
45	B3GALT6	0.14229344	0.12939335	-0.13710558	0.31239223	0
46	C1QTNF12	0.013080447	0.03568647	1.4479654	1.6100667	0
47	AL162741.1	0.0006802127	0.0	-inf	1.5882901	0
48	UBE2J2	0.21610075	0.32492846	0.58841807	4.263624	0
49	LINC01786	0.0011392036	0.0	-inf	2.271678	0
50	SCNN1D	0.0025333755	0.007596342	1.5842439	0.58997285	0
51	ACAP3	0.08683736	0.11335395	0.38444692	0.9024598	0
52	PUSL1	0.07070439	0.08272186	0.22646879	0.3720032	0
53	INTS11	0.15086965	0.17004512	0.17261505	0.46451017	0
54	AL139287.1	0.00038108986	0.0	-inf	1.0764577	0
55	CPTP	0.04882262	0.05816771	0.2526689	0.344566	0
56	TAS1R3	9.717408e-05	0.0023707987	4.608658	0.47049734	0
57	DVL1	0.048816767	0.06612939	0.43791476	0.7459273	0
58	MXRA8	0.16976179	0.16850682	-0.010704863	0.02098044	0
59	AURKAIP1	0.7589982	0.7252338	-0.065650344	0.4720084	0
60	CCNL2	0.3758833	0.40230766	0.098014414	0.4199289	0
61	MRPL20-AS1	0.029339544	0.03255755	0.15014564	0.1360633	0
