	gene	expression_1	expression_2	log2FC	-log10 p-val	significant
0	MIR1302-2HG	0.0	0.0			1
1	FAM138A	0.0	0.0			1
2	OR4F5	0.0	0.0			1
3	AL627309.1	0.0	0.0			1
4	AL627309.3	0.0	0.0			1
5	AL627309.2	0.0	0.0			1
6	AL627309.5	0.009591563	0.015468774	0.6895212	0.1414387	0
7	AL627309.4	0.0	0.0			1
8	AP006222.2	0.0	0.0			1
9	AL732372.1	0.0	0.0			1
10	OR4F29	0.0	0.0			1
11	AC114498.1	0.0	0.0			1
12	OR4F16	0.0	0.0			1
13	AL669831.2	0.0	0.0			1
14	LINC01409	0.047695477	0.06522806	0.45164028	0.24135098	0
15	FAM87B	0.0	0.0			1
16	LINC01128	0.091835	0.0985108	0.10123788	0.061386984	0
17	LINC00115	0.0026490556	0.019694595	2.8942497	0.40382925	0
18	FAM41C	0.015197856	0.015363504	0.015639469	0.0042713867	0
19	AL645608.6	0.0	0.015354184	inf	0.49256265	0
20	AL645608.2	0.0	0.012968078	inf	0.4925627	0
21	AL645608.4	0.0	0.0			1
22	LINC02593	0.02417717	0.011461762	-1.0768166	0.42430124	0
23	SAMD11	0.051333304	0.300782	2.5507512	3.1449165	0
24	NOC2L	0.21765696	0.27278796	0.32572377	0.4227989	0
25	KLHL17	0.023456028	0.013490058	-0.79806215	0.33809695	0
26	PLEKHN1	0.0021670512	0.035322696	4.02679	0.7231554	0
27	PERM1	0.0	0.0			1
28	AL645608.7	0.019959878	0.037942503	0.926712	0.3255608	0
29	HES4	1.218612	1.313578	0.108263135	0.51351225	0
30	ISG15	0.3484532	0.46910113	0.42893416	0.9159503	0
31	AL645608.1	0.0	0.0			1
32	AGRN	0.13056593	0.1670649	0.3556303	0.31132957	0
33	AL645608.5	0.0	0.0			1
34	AL645608.8	0.0	0.0			1
35	RNF223	0.0	0.0			1
36	C1orf159	0.043529302	0.028013127	-0.6358839	0.29185373	0
37	AL390719.3	0.0	0.0			1
38	LINC01342	0.0	0.0			1
39	AL390719.2	0.0	0.0			1
40	TTLL10-AS1	0.0	0.0			1
41	TTLL10	0.0	0.0			1
42	TNFRSF18	0.0	0.0			1
43	TNFRSF4	0.0036182532	0.0	-inf	0.49746862	0
44	SDF4	0.54873586	0.5611422	0.03225462	0.060063824	0
45	B3GALT6	0.17855391	0.14166757	-0.33385012	0.34591886	0
46	C1QTNF12	0.002294721	0.0	-inf	0.497473	0
47	AL162741.1	0.0	0.0			1
48	UBE2J2	0.30795756	0.34660536	0.17056249	0.2374107	0
49	LINC01786	0.0	0.0			1
50	SCNN1D	0.0051690997	0.0	-inf	0.8013019	0
51	ACAP3	0.122913964	0.20939466	0.76857585	0.9482214	0
52	PUSL1	0.107571505	0.17421709	0.69559026	0.76386404	0
53	INTS11	0.1506027	0.21202753	0.49350405	0.6022201	0
54	AL139287.1	0.0033623097	0.0	-inf	0.49746862	0
55	CPTP	0.051287144	0.07192937	0.48798373	0.2897967	0
56	TAS1R3	0.0	0.0			1
57	DVL1	0.07909711	0.08077525	0.030288434	0.015280702	0
58	MXRA8	0.26548582	0.24030784	-0.14375117	0.16314447	0
59	AURKAIP1	1.0280039	1.0827218	0.07481683	0.27563235	0
60	CCNL2	0.3787401	0.38626224	0.028372511	0.034315523	0
61	MRPL20-AS1	0.023224762	0.055201538	1.2490447	0.48099917	0
62	MRPL20	0.9688242	0.95296055	-0.023818387	0.06870306	0
63	AL391244.2	0.0024960206	0.033242848	3.7353423	0.6874491	0
64	ANKRD65	0.0	0.0			1
65	AL391244.1	0.0	0.0			1
66	TMEM88B	0.0	0.0			1
67	LINC01770	0.0	0.0			1
68	VWA1	0.06449607	0.11196823	0.7958062	0.6597304	0
