gene	mean	True_mean	True_positive_frac	False_mean	False_positive_frac	log2FC	-log10 p-val	is_significant
NPPA	0.5453182	0.758265	0.41482300884955753	0.49487895	0.2744429882044561	-0.6155253	10.356354	1
CCN1	0.17525959	0.24504653	0.2688053097345133	0.1587172	0.15386631716906946	-0.6262771	7.0410166	1
LEFTY2	0.1927858	0.28963852	0.24557522123893805	0.1698287	0.13761467889908258	-0.76982194	8.244562	1
EHD3	0.18095934	0.25496313	0.288716814159292	0.16341661	0.16408912188728703	-0.6414171	8.256212	1
CYTOR	0.14340141	0.19844566	0.22123893805309736	0.13035196	0.13184796854521624	-0.60595226	5.4839797	1
SESTD1	0.14105363	0.19248247	0.22123893805309736	0.12886189	0.1326343381389253	-0.57853156	5.187225	1
COL3A1	0.3095441	0.44560003	0.290929203539823	0.27729744	0.18846657929226737	-0.6841187	8.217334	1
DES	0.062786855	0.10184619	0.12057522123893805	0.053531468	0.055570117955439056	-0.9266561	5.3035297	1
SH3BP5	0.18584955	0.2496799	0.27876106194690264	0.1707176	0.16566186107470512	-0.5482008	6.04529	1
XIRP1	0.3267776	0.43965194	0.45132743362831856	0.30002597	0.28964613368283093	-0.55112183	12.153851	1
PHLDB2	0.15056229	0.20881017	0.24446902654867256	0.13675293	0.13918741808650065	-0.61025625	6.2611427	1
GYG1	0.36688477	0.4972689	0.48783185840707965	0.3359834	0.31716906946264745	-0.565497	14.219393	1
TBC1D1	0.24286494	0.3219545	0.35176991150442477	0.22411828	0.2214941022280472	-0.5224008	7.660977	1
HOPX	0.1402036	0.2681677	0.23119469026548672	0.1098741	0.09488859764089122	-1.2865095	15.675888	1
SULT1E1	0.028823437	0.06984551	0.05420353982300885	0.019101996	0.014941022280471821	-1.8649753	5.1677833	1
EDNRA	0.18456332	0.96335185	1.0	-3.594323e-09	0.0	-13.234049	32.77631	1
PDLIM3	0.42768964	0.5861727	0.47123893805309736	0.3901303	0.31716906946264745	-0.5872462	13.172441	1
RAI14	0.1810293	0.24540882	0.27323008849557523	0.16576865	0.17011795543905636	-0.56573355	6.480558	1
C7	0.2094752	0.27713704	0.27101769911504425	0.19343634	0.17745740498034077	-0.51851547	5.4794903	1
XRCC4	0.28432024	0.4163007	0.375	0.25304058	0.22123197903014416	-0.7180338	13.372567	1
DPYSL3	0.20823586	0.28272045	0.3075221238938053	0.19057988	0.1858453473132372	-0.56873375	7.3332367	1
C5orf46	0.034604784	0.078832045	0.09513274336283185	0.024121678	0.025425950196592398	-1.7043123	8.643109	1
PDGFRB	0.030394169	0.069641985	0.05752212389380531	0.021092365	0.017562254259501964	-1.718483	5.130916	1
HRH2	0.088189006	0.13457942	0.14380530973451328	0.077199146	0.07418086500655308	-0.801005	5.2159963	1
CCN2	0.09718314	0.17426075	0.17699115044247787	0.07892228	0.07575360419397116	-1.1417439	9.355421	1
AC018647.1	0.040901527	0.07553067	0.09623893805309734	0.03269158	0.03879423328964613	-1.205646	6.1794353	1
CLU	0.2563738	0.3390651	0.32853982300884954	0.23677436	0.21520314547837482	-0.51786566	6.568224	1
MCM4	0.19686432	0.27297032	0.2577433628318584	0.1788241	0.15701179554390562	-0.60992473	6.5677333	1
AARD	0.038063582	0.0719811	0.0918141592920354	0.030023338	0.03486238532110092	-1.2587395	6.093965	1
KLF9	0.07888993	0.11895369	0.14823008849557523	0.06939891	0.07313237221494102	-0.77655	5.1808577	1
MAMDC4	0.01520973	0.0038608427	0.0055309734513274336	0.017898975	0.017562254259501964	2.1840353	5.464357	1
KLF6	0.19722751	0.25980866	0.27654867256637167	0.18239228	0.17169069462647443	-0.5101692	5.2396884	1
CXCL12	0.3263235	0.43868896	0.3805309734513274	0.29969153	0.25923984272608125	-0.54956764	8.898226	1
ANKRD1	0.8229778	1.1187066	0.5309734513274337	0.7529258	0.3889908256880734	-0.5711894	13.285946	1
HELLS	0.17489651	0.24321173	0.2245575221238938	0.15870231	0.1381389252948886	-0.6155739	5.6321745	1
TAGLN	0.8349948	1.1431564	0.6161504424778761	0.7619946	0.45923984272608126	-0.5851071	19.111341	1
MCAM	0.21647532	0.2871929	0.3064159292035398	0.19971299	0.19554390563564875	-0.52387196	6.2747025	1
CHEK1	0.11178225	0.15896189	0.17920353982300885	0.100605175	0.10327653997378768	-0.65945035	5.0238495	1
MYL2	0.4585587	0.6892111	0.37610619469026546	0.40390515	0.26055045871559634	-0.7707816	12.420024	1
LINC01405	0.35161582	0.4945089	0.40154867256637167	0.3177491	0.2689384010484928	-0.63794607	12.270861	1
MYH11	0.13386463	0.23399986	0.17699115044247787	0.11013283	0.08676277850589777	-1.0865701	9.003085	1
SLC12A4	0.09176136	0.13402571	0.17256637168141592	0.081748106	0.08676277850589777	-0.71256477	5.4440794	1
TMEM88	0.21839543	0.30137864	0.3185840707964602	0.19872597	0.18846657929226737	-0.6005495	8.3040905	1
KISS1R	0.048535224	0.023354549	0.023230088495575223	0.054501478	0.04875491480996068	1.2190723	5.475215	1
PPP1R14A	0.16071591	0.2171718	0.2411504424778761	0.14733076	0.14390563564875491	-0.5594633	5.288759	1
C19orf47	0.11641453	0.16561228	0.20243362831858408	0.10475721	0.11297509829619921	-0.66025436	5.7995243	1
MCM5	0.082974665	0.12573005	0.14601769911504425	0.07284631	0.0710353866317169	-0.7865697	5.171643	1
SRPX	0.11000384	0.16953173	0.21349557522123894	0.095900506	0.10222804718217562	-0.82129216	8.457466	1
FHL1	0.29493415	0.38890204	0.41150442477876104	0.27266273	0.2615989515072084	-0.5121313	9.240319	1
