,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS007AA9FDE---DLK1-NOTCH3---CF-CF,DLK1-NOTCH3,CF-CF,0.8703021370670596,0.001,,0.8703021370670596,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---CF-CF,VEGFA-FLT1,CF-CF,0.3258855585831063,0.001,,0.3258855585831063,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CF-CF,VEGFA-NRP2,CF-CF,0.5098039215686275,0.001,,0.5098039215686275,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CF-CF,VEGFA-FLT1-complex,CF-CF,0.4384164222873901,0.001,,0.4384164222873901,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CF-CF,VEGFA-KDR,CF-CF,0.4384164222873901,0.001,,0.4384164222873901,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0F1E79A03---WNT5A-SFRP1---CF-CF,WNT5A-SFRP1,CF-CF,0.34429223744292237,0.996,0.34429223744292237,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0B70EB09E---PDGFA-PDGFRA---CF-CF,PDGFA-PDGFRA,CF-CF,0.46376811594202894,0.001,,0.46376811594202894,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0D681D90E---SDC2-ADGRA2---CF-CF,SDC2-ADGRA2,CF-CF,0.47679324894514774,0.001,,0.47679324894514774,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Syndecan
CPI-SC0B51DC960---PGF-FLT1-complex---CF-CF,PGF-FLT1-complex,CF-CF,0.09144893111638956,1.0,0.09144893111638956,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS065D9259F---PGF-NRP2---CF-CF,PGF-NRP2,CF-CF,0.08439490445859871,1.0,0.08439490445859871,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS058209EC7---F2-F2R---CF-CF,F2-F2R,CF-CF,,1.0,,,1.0,0.0,no,False,Ligand-Receptor,Adhesion by Prothrombin
CPI-SS0C93E48D7---THBS1-CD36---CF-CF,THBS1-CD36,CF-CF,0.3494809688581315,1.0,0.3494809688581315,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Thrombospondin precursor
CPI-SS007954822---WNT5A-FRZB---CF-CF,WNT5A-FRZB,CF-CF,0.2633136094674556,1.0,0.2633136094674556,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0BA601DC4---BDNF-NTRK2---CF-CF,BDNF-NTRK2,CF-CF,0.4279475982532751,1.0,0.4279475982532751,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Brain-derived neurotrophic factor
CPI-SS0FC01B947---EFNA5-EPHA4---CF-CF,EFNA5-EPHA4,CF-CF,0.2995391705069124,1.0,0.2995391705069124,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS03F33B34C---WNT5A-SFRP2---CF-CF,WNT5A-SFRP2,CF-CF,0.5185185185185185,1.0,0.5185185185185185,,0.0,0.0,no,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS052119104---AREG-EGFR---CF-CF,AREG-EGFR,CF-CF,0.2751842751842752,1.0,0.2751842751842752,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Epidermal growth factor
CPI-SS0B99F22A2---JAG1-NOTCH3---CF-CF,JAG1-NOTCH3,CF-CF,0.49999999999999994,0.001,,0.49999999999999994,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0A28DCA72---CXCL12-CXCR4---CF-CF,CXCL12-CXCR4,CF-CF,0.23076923076923078,0.001,,0.23076923076923078,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS083BB1EB3---TENM1-ADGRL2---CF-CF,TENM1-ADGRL2,CF-CF,0.7208588957055214,1.0,0.7208588957055214,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS08BFFB96E---FLRT3-ADGRL2---CF-CF,FLRT3-ADGRL2,CF-CF,0.7224199288256227,1.0,0.7224199288256227,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Fibronectin
CPI-SS075F456AF---TENM3-ADGRL2---CF-CF,TENM3-ADGRL2,CF-CF,0.7660377358490567,0.001,,0.7660377358490567,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS04829AC68---GJA1-GJA1---CF-CF,GJA1-GJA1,CF-CF,0.4951830443159923,0.001,,0.4951830443159923,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS07361522F---PGF-FLT1---CF-CF,PGF-FLT1,CF-CF,0.1361731843575419,1.0,0.1361731843575419,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS007AA9FDE---DLK1-NOTCH3---CF-CM,DLK1-NOTCH3,CF-CM,0.8165070007369196,1.0,0.8165070007369196,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Notch
CPI-SS0B9B3870A---VEGFA-FLT1---CF-CM,VEGFA-FLT1,CF-CM,0.2196185286103542,1.0,0.2196185286103542,,0.0,0.0,no,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CF-CM,VEGFA-NRP2,CF-CM,0.5396419437340153,0.001,,0.5396419437340153,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
