id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CF|CF	CF|CM	CF|EC	CF|MP	CF|OTH	CF|PR	CM|CF	CM|CM	CM|EC	CM|MP	CM|OTH	CM|PR	EC|CF	EC|CM	EC|EC	EC|MP	EC|OTH	EC|PR	MP|CF	MP|CM	MP|EC	MP|MP	MP|OTH	MP|PR	OTH|CF	OTH|CM	OTH|EC	OTH|MP	OTH|OTH	OTH|PR	PR|CF	PR|CM	PR|EC	PR|MP	PR|OTH	PR|PR
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.012	0.013	0.659	0.007	0.0	0.009	0.013	0.015	0.661	0.009	0.0	0.011	0.659	0.661	1.307	0.655	0.0	0.657	0.007	0.009	0.655	0.003	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.011	0.657	0.005	0.0	0.007
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.024	0.014	0.0	0.014	0.027	0.032	0.014	0.003	0.0	0.003	0.016	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.003	0.0	0.003	0.017	0.022	0.027	0.016	0.0	0.017	0.03	0.035	0.032	0.022	0.0	0.022	0.035	0.041
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.06	0.036	0.038	0.218	0.032	0.054	0.036	0.012	0.014	0.194	0.009	0.031	0.038	0.014	0.016	0.196	0.01	0.032	0.218	0.194	0.196	0.376	0.19	0.212	0.032	0.009	0.01	0.19	0.005	0.027	0.054	0.031	0.032	0.212	0.027	0.049
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.003	0.004	0.003	0.008	0.0	0.021	0.005	0.005	0.004	0.01	0.0	0.023	0.004	0.005	0.004	0.009	0.0	0.022	0.031	0.031	0.03	0.036	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.003	0.004	0.003	0.008	0.0	0.022	0.002	0.003	0.002	0.007	0.0	0.02	0.004	0.005	0.004	0.009	0.0	0.022	0.004	0.005	0.004	0.009	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.009	0.008	0.013	0.0	0.026	0.007	0.007	0.006	0.012	0.0	0.025	0.004	0.005	0.004	0.009	0.0	0.022	0.011	0.011	0.01	0.016	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.004	0.009	0.0	0.022
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.008	0.007	0.013	0.0	0.026	0.005	0.005	0.004	0.01	0.0	0.023	0.007	0.007	0.006	0.012	0.0	0.025	0.028	0.029	0.028	0.033	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.012	0.011	0.016	0.0	0.029
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.0	1.374	0.0	0.0	0.0	1.375	0.0	0.161	0.0	0.0	0.0	0.162	0.0	0.338	0.0	0.0	0.0	0.339	0.0	0.81	0.0	0.0	0.0	0.811	0.0	0.965	0.0	0.0	0.0	0.966	0.0	1.37	0.0	0.0	0.0	1.371
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	0.0	0.013	0.0	0.0	0.0	0.014	0.0	0.62	0.0	0.0	0.0	0.621	0.0	0.011	0.0	0.0	0.0	0.012	0.0	0.104	0.0	0.0	0.0	0.105	0.0	0.068	0.0	0.0	0.0	0.069	0.0	0.043	0.0	0.0	0.0	0.044
