gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EC	MP	PC	VSMC
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.037	0.08	0.045	0.132
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.016	0.004	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.167	0.419	0.351	0.098
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.001	0.009	0.001	0.003
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.003	0.015	0.004	0.013
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.003	0.015	0.004	0.013
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.933	0.018	0.023	0.022
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.012	0.005	0.025	0.057
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.055	0.182	0.077	0.019
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.005	0.04	0.004	0.016
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.002	0.002	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.001	0.008	0.002	0.006
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.009	0.024	0.008	0.009
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.554	0.549	0.897	1.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.034	0.112	0.059	0.025
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.812	0.081	0.061	0.114
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.313	0.063	0.05	0.694
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.0	0.001	0.001	0.025
AGT	P01019	False	ANGT_HUMAN		CPI-SS069924427	AGT	0.0	0.001	0.001	0.025
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.04	0.124	0.056	0.218
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.005	0.04	0.004	0.016
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.002	0.002	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.001	0.008	0.002	0.006
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.009	0.024	0.008	0.009
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.0	0.004	0.002	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	CCL25	0.0	0.001	0.0	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.001	0.002	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.022	0.0	0.001	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.009	0.001	0.002	0.006
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.012	0.0	0.0	0.003
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.061	0.246	0.068	0.12
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.002	0.005	0.001	0.003
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.005	0.042	0.004	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.077	0.002	0.004	0.117
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.001	0.011	0.001	0.006
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.127	0.118	0.07	0.047
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.653	0.262	0.442	0.287
