,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS0B70EB09E---PDGFA-PDGFRA---CF-CF,PDGFA-PDGFRA,CF-CF,0.5485996705107085,0.001,,0.5485996705107085,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS0A28DCA72---CXCL12-CXCR4---CF-CF,CXCL12-CXCR4,CF-CF,0.5825471698113208,0.001,,0.5825471698113208,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Chemokines
CPI-SS0D681D90E---SDC2-ADGRA2---CF-CF,SDC2-ADGRA2,CF-CF,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Syndecan
CPI-SS0B99F22A2---JAG1-NOTCH3---CF-CF,JAG1-NOTCH3,CF-CF,0.9112426035502957,0.001,,0.9112426035502957,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS01F67987A---FGF2-FGFR1---CF-CF,FGF2-FGFR1,CF-CF,0.8534031413612564,0.001,,0.8534031413612564,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Fibroblast growth factor
CPI-SS075F456AF---TENM3-ADGRL2---CF-CF,TENM3-ADGRL2,CF-CF,0.6632124352331606,0.001,,0.6632124352331606,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS007AA9FDE---DLK1-NOTCH3---CF-CF,DLK1-NOTCH3,CF-CF,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS07361522F---PGF-FLT1---CF-CF,PGF-FLT1,CF-CF,0.15730994152046784,0.001,,0.15730994152046784,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CF-CF,VEGFA-FLT1,CF-CF,0.31193124368048536,0.001,,0.31193124368048536,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS04829AC68---GJA1-GJA1---CF-CF,GJA1-GJA1,CF-CF,0.6582278481012658,0.001,,0.6582278481012658,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS0C03F7CDC---VEGFA-KDR---CF-CF,VEGFA-KDR,CF-CF,0.34283170080142483,0.004,,0.34283170080142483,1.0,2.3979400086720375,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CF-CF,VEGFA-FLT1-complex,CF-CF,0.3654342218400689,0.001,,0.3654342218400689,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CF-CF,VEGFA-NRP2,CF-CF,0.31351791530944634,0.001,,0.31351791530944634,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0B51DC960---PGF-FLT1-complex---CF-CF,PGF-FLT1-complex,CF-CF,0.08603351955307263,0.001,,0.08603351955307263,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS065D9259F---PGF-NRP2---CF-CF,PGF-NRP2,CF-CF,0.038541666666666655,0.016,,0.038541666666666655,1.0,1.7958800173440752,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS01F67987A---FGF2-FGFR1---CF-CM,FGF2-FGFR1,CF-CM,0.1518324607329843,0.001,,0.1518324607329843,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Fibroblast growth factor
CPI-SS087E0E3FB---EFNB2-EPHA4---CF-CM,EFNB2-EPHA4,CF-CM,0.5154394299287411,0.001,,0.5154394299287411,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0FC01B947---EFNA5-EPHA4---CF-CM,EFNA5-EPHA4,CF-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS007954822---WNT5A-FRZB---CF-CM,WNT5A-FRZB,CF-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0F1E79A03---WNT5A-SFRP1---CF-CM,WNT5A-SFRP1,CF-CM,1.0,0.001,,1.0,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS04829AC68---GJA1-GJA1---CF-CM,GJA1-GJA1,CF-CM,0.3291139240506329,0.001,,0.3291139240506329,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS0C03F7CDC---VEGFA-KDR---CF-CM,VEGFA-KDR,CF-CM,0.45859305431878905,0.001,,0.45859305431878905,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
