,interaction_group,celltype_group,scaled_means,pvals,x_means,y_means,x_stroke,neglog10p,significant,is_integrin,directionality,classification
CPI-SS007AA9FDE---DLK1-NOTCH3---CF-CF,DLK1-NOTCH3,CF-CF,0.4849379799173065,0.001,,0.4849379799173065,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS07361522F---PGF-FLT1---CF-CF,PGF-FLT1,CF-CF,0.19001701644923422,0.001,,0.19001701644923422,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CF-CF,VEGFA-FLT1,CF-CF,0.24584004294149223,0.001,,0.24584004294149223,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS04829AC68---GJA1-GJA1---CF-CF,GJA1-GJA1,CF-CF,0.4027777777777778,0.001,,0.4027777777777778,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS0B70EB09E---PDGFA-PDGFRA---CF-CF,PDGFA-PDGFRA,CF-CF,0.396432111000991,0.001,,0.396432111000991,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Platelet-derived growth factor
CPI-SS075F456AF---TENM3-ADGRL2---CF-CF,TENM3-ADGRL2,CF-CF,0.7699316628701595,0.001,,0.7699316628701595,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Teneurin
CPI-SS0D681D90E---SDC2-ADGRA2---CF-CF,SDC2-ADGRA2,CF-CF,0.666243654822335,0.001,,0.666243654822335,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Syndecan
CPI-SS0D8632EB4---EDN1-EDNRA---CF-CF,EDN1-EDNRA,CF-CF,0.4446177847113884,0.001,,0.4446177847113884,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS0B99F22A2---JAG1-NOTCH3---CF-CF,JAG1-NOTCH3,CF-CF,0.4444444444444444,0.001,,0.4444444444444444,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Notch
CPI-SS0F1E79A03---WNT5A-SFRP1---CF-CM,WNT5A-SFRP1,CF-CM,0.6782945736434108,0.001,,0.6782945736434108,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS04829AC68---GJA1-GJA1---CF-CM,GJA1-GJA1,CF-CM,0.3279320987654321,0.001,,0.3279320987654321,1.0,3.0,yes,False,Gap-Gap,Adhesion by GAP junction
CPI-SS087E0E3FB---EFNB2-EPHA4---CF-CM,EFNB2-EPHA4,CF-CM,0.39135654261704683,0.001,,0.39135654261704683,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS007954822---WNT5A-FRZB---CF-CM,WNT5A-FRZB,CF-CM,0.4173228346456692,0.001,,0.4173228346456692,1.0,3.0,yes,False,Ligand-Ligand,Signaling by WNT inhibition
CPI-SS0FC01B947---EFNA5-EPHA4---CF-CM,EFNA5-EPHA4,CF-CM,0.6546052631578948,0.001,,0.6546052631578948,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Ephrin
CPI-SS0D8632EB4---EDN1-EDNRA---CF-CM,EDN1-EDNRA,CF-CM,0.35101404056162244,0.001,,0.35101404056162244,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Endothelin
CPI-SS07361522F---PGF-FLT1---CF-EC,PGF-FLT1,CF-EC,0.8655700510493477,0.001,,0.8655700510493477,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Placenta growth factor
CPI-SS0B9B3870A---VEGFA-FLT1---CF-EC,VEGFA-FLT1,CF-EC,0.8851315083199142,0.001,,0.8851315083199142,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS046F8AD8B---VEGFA-NRP2---CF-EC,VEGFA-NRP2,CF-EC,0.7896281800391389,0.001,,0.7896281800391389,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SC0AFC650CD---VEGFA-FLT1-complex---CF-EC,VEGFA-FLT1-complex,CF-EC,0.8371385083713851,0.001,,0.8371385083713851,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
CPI-SS0C03F7CDC---VEGFA-KDR---CF-EC,VEGFA-KDR,CF-EC,0.8371385083713851,0.001,,0.8371385083713851,1.0,3.0,yes,False,Ligand-Receptor,Signaling by Vascular endothelial growth factor
