0	HOWT_1	HOWT_2	HOWT_3	HOET_1	HOET_2	HOET_3
A1BG	50	74	106	94	135	132
A1BG-AS1	128	187	165	119	161	119
A1CF	354	379	336	74	73	121
A2M	1739	2634	2212	8697	7976	8367
A2M-AS1	143	210	204	44	66	53
A2ML1	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0
A3GALT2	1	0	0	1	0	1
A4GALT	125	238	281	302	421	321
A4GNT	0	0	0	0	0	0
AA06	0	0	0	0	0	0
AAAS	853	1279	1357	779	1179	1014
AACS	447	682	710	405	505	454
AACSP1	114	192	180	41	70	73
AADAC	2	2	8	0	0	6
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	2	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	236	352	395	67	67	75
AAED1	65	92	80	199	206	192
AAGAB	486	694	714	724	807	816
AAK1	2138	2275	3007	2607	2159	2035
AAMDC	159	222	205	159	172	158
AAMP	1389	1979	2299	1411	1927	1948
AANAT	13	13	9	3	11	6
AAR2	560	822	833	506	593	601
AARD	17	27	24	22	25	22
AARS	2176	2771	3306	2708	3584	3636
AARS2	397	627	713	280	415	366
AARSD1	0	2	3	1	5	4
AASDH	201	171	243	93	122	125
AASDHPPT	1151	1382	1329	537	737	640
AASS	1101	1191	1422	884	840	843
AATBC	2	1	0	2	1	0
AATF	273	420	408	359	456	382
AATK	291	406	476	245	416	461
AATK-AS1	9	24	28	5	7	4
ABALON	0	3	0	0	3	1
ABAT	2109	2887	3231	280	303	345
ABCA1	670	649	925	278	177	258
ABCA10	7	5	12	2	0	1
ABCA11P	112	128	151	65	70	90
ABCA12	2	1	2	5	0	0
ABCA13	6	5	17	3	3	2
ABCA17P	1	2	1	1	1	1
ABCA2	1657	2207	2353	2302	3165	3040
ABCA3	400	591	604	252	331	378
ABCA4	0	0	2	3	7	3
ABCA5	265	315	308	247	180	149
ABCA6	7	2	4	1	1	0
ABCA7	679	946	1021	613	874	816
ABCA8	359	423	512	127	92	75
ABCA9	3	2	7	2	0	1
ABCA9-AS1	0	0	0	0	0	0
ABCB1	0	3	0	4	6	8
ABCB10	360	428	417	133	159	159
ABCB11	8	3	8	0	1	0
ABCB4	25	29	47	77	78	73
ABCB5	0	0	2	0	0	0
ABCB6	429	587	683	1320	1788	1777
ABCB7	263	357	441	484	554	549
ABCB8	563	823	884	342	445	503
ABCB9	90	142	152	116	153	162
ABCC1	1097	1402	1545	1282	1593	1600
ABCC10	431	604	691	218	330	316
ABCC11	18	13	7	4	1	0
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	192	326	293	78	79	62
ABCC3	168	275	193	80	140	82
ABCC4	78	73	101	39	34	29
ABCC5	2266	3001	3467	3062	3399	3146
ABCC5-AS1	0	0	0	0	0	0
ABCC6	174	261	248	25	49	44
ABCC6P1	47	91	80	16	13	9
ABCC6P2	13	16	18	0	0	2
ABCC8	9	8	16	6	1	1
ABCC9	27	23	46	169	127	145
ABCD1	383	520	631	407	638	541
ABCD2	22	31	24	0	0	0
ABCD3	785	1120	1140	573	711	594
ABCD4	629	1026	1061	607	809	769
ABCE1	897	1070	1116	1123	1115	1061
